object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
M1000::pattern0::L36,34.47008711331101,10.829822446470775,10.373243126617226,LGBM,2,0,0,low,low
M1001::pattern0::L36,185.95787287475542,84.29636632237685,6.123101128472214,AutoARIMA,1,0,1,low,medium
M1002::pattern0::L36,49.34972869808237,34.08906774809834,11.462120363920803,LGBM,2,0,1,low,medium
M1003::pattern0::L36,92.0035788616812,43.66078537599203,58.74584418402769,AutoETS,0,0,1,low,medium
M1004::pattern0::L36,175.97273918219562,23.5333488230482,6.726725260416657,AutoARIMA,1,0,0,low,low
M1005::pattern0::L36,68.41708256087696,9.312073290569515,7.284223090277827,AutoARIMA,1,0,0,low,low
M1006::pattern0::L36,214.17184482997405,39.34608718427182,12.000271267361114,AutoARIMA,1,0,1,low,medium
M1007::pattern0::L36,157.49992879315312,75.59856308852379,68.9736328125,AutoETS,0,0,1,low,medium
M1008::pattern0::L36,433.9955451639654,401.30050046513963,0.3286241319442027,AutoETS,0,1,2,medium,high
M1009::pattern0::L36,341.2694108718275,213.83009559070163,219.98683810763902,AutoETS,0,1,2,medium,high
M100::pattern0::L36,628.5657659975762,27.579840907772223,49.0232204861112,AutoETS,0,1,0,medium,low
M1010::pattern0::L36,230.32106348284938,45.846058988928824,5.85986328125,AutoARIMA,1,0,1,low,medium
M1011::pattern0::L36,415.80840938127915,105.70806361086692,1.3025719869219756,XGB,3,1,2,medium,high
M1012::pattern0::L36,168.15138791961417,32.38402106226079,19.75261114026239,XGB,3,0,0,low,low
M1013::pattern0::L36,173.6967722162698,66.68596456173313,3.8015885416666038,XGB,3,0,1,low,medium
M1014::pattern0::L36,306.637109193601,136.93769525635324,17.637510125099055,XGB,3,1,2,medium,high
M1015::pattern0::L36,665.9178815251169,150.53700517415177,36.53436582661607,LGBM,2,2,2,high,high
M1016::pattern0::L36,476.6485969534064,81.5869851143919,161.13275824652777,AutoARIMA,1,1,1,medium,medium
M1017::pattern0::L36,806.7699019390434,234.2554911452134,84.88263182716003,LGBM,2,2,2,high,high
M1018::pattern0::L36,242.84975075503365,112.21784489152752,33.67353387222647,LGBM,2,0,2,low,high
M1019::pattern0::L36,242.4021317918446,40.30841437945648,7.616046698628253,AutoARIMA,1,0,1,low,medium
M101::pattern0::L36,413.61091513753286,4.584753089667654,4.927161932507545,LGBM,2,1,0,medium,low
M1020::pattern0::L36,61.15585130316646,4.97678878774944,5.587451171874918,AutoETS,0,0,0,low,low
M1021::pattern0::L36,928.9052215717586,422.40744906060263,18.01526822685446,LGBM,2,2,2,high,high
M1022::pattern0::L36,1176.5864974461297,62.62129797622372,20.939057958537433,LGBM,2,2,1,high,medium
M1023::pattern0::L36,79.948112928232,51.49471333287087,4.072988825266698,LGBM,2,0,1,low,medium
M1024::pattern0::L36,99.26114603903551,36.63301956037486,1.017296006944477,XGB,3,0,1,low,medium
M1025::pattern0::L36,248.90408884905736,64.48651480091591,119.9032769097224,AutoARIMA,1,0,1,low,medium
M1026::pattern0::L36,236.86346001184725,188.5529627813722,30.375705295138886,AutoARIMA,1,0,2,low,high
M1027::pattern0::L36,69.41030022530862,7.067849771810617,7.437358940972139,AutoARIMA,1,0,0,low,low
M1028::pattern0::L36,497.53371812067496,157.84731399701903,11.948894878410783,LGBM,2,1,2,medium,high
M1029::pattern0::L36,521.5477536951482,13.64624801912352,28.879406226351307,LGBM,2,1,0,medium,low
M102::pattern0::L36,502.8503402774267,28.53770122924504,13.712082900709902,LGBM,2,1,0,medium,low
M1030::pattern0::L36,93.13493370867002,11.237100414399517,12.908941380597753,LGBM,2,0,0,low,low
M1031::pattern0::L36,293.3751904518567,260.40046235058793,4.993899650906428,LGBM,2,0,2,low,high
M1032::pattern0::L36,136.54611780610372,20.493436909712592,18.441668098501694,LGBM,2,0,0,low,low
M1033::pattern0::L36,290.27805169386954,40.96446012849763,13.5712890625,XGB,3,0,1,low,medium
M1034::pattern0::L36,520.368561285595,117.11291314652922,0.5361823749809673,LGBM,2,1,2,medium,high
M1035::pattern0::L36,645.8870107897113,41.141901434103175,42.39567057291674,AutoARIMA,1,2,1,high,medium
M1036::pattern0::L36,151.27940100636988,82.56177616880852,3.2003297199242127,XGB,3,0,1,low,medium
M1037::pattern0::L36,519.8770663081661,37.86747170161142,0.6043215728911377,LGBM,2,1,1,medium,medium
M1038::pattern0::L36,882.0440010348433,140.92460501855538,241.51041666666663,AutoARIMA,1,2,2,high,high
M1039::pattern0::L36,440.5177092516433,93.04377819999918,0.058430989583314386,XGB,3,1,2,medium,high
M103::pattern0::L36,864.5921426834434,60.64017350431922,0.3212348090277146,AutoETS,0,2,1,high,medium
M1040::pattern0::L36,252.3205700792878,140.96315466839576,105.94486219618051,AutoETS,0,0,2,low,high
M1041::pattern0::L36,86.4331637818963,28.40910815600503,43.80213758680556,AutoETS,0,0,0,low,low
M1042::pattern0::L36,348.3155946169624,195.2076194085524,6.7758246527778,AutoETS,0,1,2,medium,high
M1043::pattern0::L36,627.3028821540742,59.92984242201234,77.8209578697689,XGB,3,1,1,medium,medium
M1044::pattern0::L36,483.507141421814,279.64834172430164,290.45949978298614,AutoARIMA,1,1,2,medium,high
M1045::pattern0::L36,290.1782352940892,35.61593484029808,17.70432227850455,LGBM,2,0,1,low,medium
M1046::pattern0::L36,103.45187021670425,45.48545043563909,17.918701858877085,LGBM,2,0,1,low,medium
M1047::pattern0::L36,116.33281924573667,30.616033142851304,12.056526836497753,LGBM,2,0,0,low,low
M1048::pattern0::L36,371.2902130675799,15.182559162496236,15.083375160236585,LGBM,2,1,0,medium,low
M1049::pattern0::L36,125.53968185613121,14.78153503032911,0.09201388888889994,AutoETS,0,0,0,low,low
M104::pattern0::L36,707.6405954412213,76.03048800242637,0.8441840277778283,AutoETS,0,2,1,high,medium
M1050::pattern0::L36,649.001537968072,74.76038721286734,10.90087890625,AutoETS,0,2,1,high,medium
M1051::pattern0::L36,1012.7343249962258,524.7799023204091,8.692626953125,AutoETS,0,2,2,high,high
M1052::pattern0::L36,208.9349641329659,32.7778781479766,0.11802842881942865,AutoARIMA,1,0,0,low,low
M1053::pattern0::L36,466.48734980971636,72.44885262427829,2.676866319444457,AutoARIMA,1,1,1,medium,medium
M1054::pattern0::L36,514.4730584561496,46.48680341616695,14.866392477485022,LGBM,2,1,1,medium,medium
M1055::pattern0::L36,304.9729253808243,78.26543641132386,10.609456380208343,AutoARIMA,1,1,1,medium,medium
M1056::pattern0::L36,1501.1989847615273,29.204580187311954,5.684914903544495,LGBM,2,2,0,high,low
M1057::pattern0::L36,766.3667882006811,124.33450254827953,4.089246961805543,AutoARIMA,1,2,2,high,high
M1058::pattern0::L36,379.8716953119383,155.65920987989358,220.27346462673614,AutoARIMA,1,1,2,medium,high
M1059::pattern0::L36,557.2509709241908,182.65707158567292,25.12101694329118,XGB,3,1,2,medium,high
M105::pattern0::L36,283.7955984548774,22.157800403617543,1.0370758941624558,XGB,3,0,0,low,low
M1060::pattern0::L36,231.05808392102534,76.72700542250824,82.52685065805971,AutoETS,0,0,1,low,medium
M1061::pattern0::L36,129.27996118882956,15.187561689672805,3.926243569334517,LGBM,2,0,0,low,low
M1062::pattern0::L36,358.2692324804127,43.855013333380526,14.944280182067587,XGB,3,1,1,medium,medium
M1063::pattern0::L36,557.6584571658693,137.99258104341092,10.023600260416686,AutoARIMA,1,1,2,medium,high
M1064::pattern0::L36,360.18869516050654,40.189669866644714,8.4482421875,XGB,3,1,1,medium,medium
M1065::pattern0::L36,280.3447179607304,50.72595605004681,21.7353515625,AutoETS,0,0,1,low,medium
M1066::pattern0::L36,281.1149210308714,82.29040126094425,2.058696710291372,XGB,3,0,1,low,medium
M1067::pattern0::L36,385.46055354101026,58.26146275377813,15.379340277777828,AutoETS,0,1,1,medium,medium
M1068::pattern0::L36,485.92206203139966,17.65951952747038,10.270604896432019,XGB,3,1,0,medium,low
M1069::pattern0::L36,406.6328237501816,28.902581509404865,20.641448054829084,LGBM,2,1,0,medium,low
M106::pattern0::L36,665.5164135192211,34.548546188616065,15.53472959771807,XGB,3,2,1,high,medium
M1070::pattern0::L36,764.0367981054774,77.97779004972706,0.08289655378519001,LGBM,2,2,1,high,medium
M1071::pattern0::L36,417.69859514128774,12.800352953455508,11.078776041666686,AutoETS,0,1,0,medium,low
M1072::pattern0::L36,879.9968195427002,273.8186820805464,82.34743923611109,AutoARIMA,1,2,2,high,high
M1073::pattern0::L36,317.1453240246998,203.66294014397937,1.6839192708333286,AutoETS,0,1,2,medium,high
M1074::pattern0::L36,145.51937038638403,46.03793002802309,0.28830295138888573,AutoETS,0,0,1,low,medium
M1075::pattern0::L36,560.1690481794021,137.62257406941836,29.377852873858217,XGB,3,1,2,medium,high
M1076::pattern0::L36,409.70043207612537,217.27599102814747,3.6047339468627513,XGB,3,1,2,medium,high
M1077::pattern0::L36,408.8550137818546,195.87913489886273,3.604733946862723,XGB,3,1,2,medium,high
M1078::pattern0::L36,4734.455025117269,435.52660499785014,100.47695255012968,LGBM,2,2,2,high,high
M1079::pattern0::L36,3496.784261664932,1515.4507431862344,41.126585912114024,XGB,3,2,2,high,high
M107::pattern0::L36,794.7585986677258,70.242316920007,28.146160884652318,LGBM,2,2,1,high,medium
M1080::pattern0::L36,341.7277400230405,102.63344128502284,4.063846376884385,XGB,3,1,2,medium,high
M1081::pattern0::L36,194.57503175320704,19.21002398197302,1.4785188205050872,LGBM,2,0,0,low,low
M1082::pattern0::L36,104.86366301883731,10.315478903553123,0.764276641321473,AutoARIMA,1,0,0,low,low
M1083::pattern0::L36,526.0000750324242,49.43829251575078,8.961508897058025,XGB,3,1,1,medium,medium
M1084::pattern0::L36,214.3118914252687,157.5875702358819,25.09771050347222,AutoARIMA,1,0,2,low,high
M1085::pattern0::L36,182.62360636046338,74.93208426388975,147.53358289930554,AutoETS,0,0,1,low,medium
M1086::pattern0::L36,58.26362992782664,19.263823875037197,7.16139905158434,AutoETS,0,0,0,low,low
M1087::pattern0::L36,99.62974961551738,43.98811984724975,25.835177951388886,AutoETS,0,0,1,low,medium
M1088::pattern0::L36,98.33617805174589,30.57093242325366,25.95502387152778,AutoETS,0,0,0,low,low
M1089::pattern0::L36,215.18180036739335,147.6979356600233,44.32758246527777,AutoARIMA,1,0,2,low,high
M108::pattern0::L36,982.6683008140535,17.29684225165248,2.361328125,AutoARIMA,1,2,0,high,low
M1090::pattern0::L36,2331.774945753832,466.9394669597651,60.74756947366154,XGB,3,2,2,high,high
M1091::pattern0::L36,2131.812275765921,313.23281092177024,0.58740234375,AutoARIMA,1,2,2,high,high
M1092::pattern0::L36,4382.913276730486,943.4945856574807,63.93283420138869,AutoARIMA,1,2,2,high,high
M1093::pattern0::L36,115.69784064039547,60.60349463768491,7.4716796875,AutoARIMA,1,0,1,low,medium
M1094::pattern0::L36,526.9587186670128,52.40184922708295,115.57104492187494,AutoARIMA,1,1,1,medium,medium
M1095::pattern0::L36,528.2273502075009,187.53444794628376,2.7809828612531646,XGB,3,1,2,medium,high
M1096::pattern0::L36,328.6422941698234,36.65703289977254,12.729542938761767,LGBM,2,1,1,medium,medium
M1097::pattern0::L36,631.4150011123345,117.70137199712511,50.39557302572689,XGB,3,1,2,medium,high
M1098::pattern0::L36,990.7543164100398,5.2290175039052675,3.2807074652777146,XGB,3,2,0,high,low
M1099::pattern0::L36,139.58116929962503,9.359005374145429,0.5113389756944287,AutoARIMA,1,0,0,low,low
M109::pattern0::L36,967.3661439300824,18.682006295182248,29.58111217866349,XGB,3,2,0,high,low
M10::pattern0::L36,2529.849461912605,1302.0382555981996,97.91865354315564,LGBM,2,2,2,high,high
M1100::pattern0::L36,201.64207219371795,45.49273942039124,11.850819298044883,LGBM,2,0,1,low,medium
M1101::pattern0::L36,310.790656215898,69.48415749707313,22.54508463541663,AutoARIMA,1,1,1,medium,medium
M1102::pattern0::L36,238.97947088429277,56.42244710376898,1.1567692406066783,LGBM,2,0,1,low,medium
M1103::pattern0::L36,689.7130949230993,56.757785373126644,11.544816758369507,XGB,3,2,1,high,medium
M1104::pattern0::L36,274.50043075239626,42.716828658217544,3.7323133680555713,AutoETS,0,0,1,low,medium
M1105::pattern0::L36,3249.9278629951405,929.8872362173697,1171.7563214569384,LGBM,2,2,2,high,high
M1106::pattern0::L36,401.9043626793627,30.022343065727796,31.933802713978423,AutoETS,0,1,0,medium,low
M1107::pattern0::L36,480.10201626241854,48.86021120127988,31.882891438563036,AutoARIMA,1,1,1,medium,medium
M1108::pattern0::L36,613.3516232686,101.33087057906164,104.80875651041669,AutoARIMA,1,1,2,medium,high
M1109::pattern0::L36,204.24569858777406,66.00940079841685,18.021748344151717,XGB,3,0,1,low,medium
M110::pattern0::L36,522.7681412869337,25.182249068984568,11.968615494956794,XGB,3,1,0,medium,low
M1110::pattern0::L36,358.427059009503,39.06304533916523,0.2601566109287887,XGB,3,1,1,medium,medium
