object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
Q100::pattern0::L24,147.81991552826005,16.795389816488438,37.15863037109375,AutoETS,0,0,0,low,low
Q101::pattern0::L24,381.1782452241541,26.733140611390827,0.0,AutoETS,0,1,0,medium,low
Q102::pattern0::L24,267.7350219314608,14.882478941420352,0.019775390625,AutoETS,0,1,0,medium,low
Q103::pattern0::L24,341.75632195724825,68.41882940715345,1.907470703125,AutoETS,0,1,1,medium,medium
Q104::pattern0::L24,469.34987634366007,25.392728878902417,14.078216312140398,XGB,3,2,0,high,low
Q105::pattern0::L24,331.23226980486004,69.58643059059774,4.4241943359375,AutoARIMA,1,1,1,medium,medium
Q106::pattern0::L24,588.5910038776276,52.51642946438093,109.0416259765625,AutoARIMA,1,2,1,high,medium
Q107::pattern0::L24,445.86820613390455,86.24842345084951,21.06727556203805,LGBM,2,2,1,high,medium
Q108::pattern0::L24,726.5221617885425,500.381925243775,59.756689146356166,AutoARIMA,1,2,2,high,high
Q109::pattern0::L24,220.32089334482555,94.7071120255864,15.334212265229098,LGBM,2,1,1,medium,medium
Q10::pattern0::L24,158.89146311283724,68.43438288323988,45.589661045098865,XGB,3,0,1,low,medium
Q110::pattern0::L24,385.2541845159243,28.002410436770372,14.998291015625,AutoARIMA,1,1,0,medium,low
Q111::pattern0::L24,654.9852468178603,96.69305917721506,66.93236910737892,AutoETS,0,2,1,high,medium
Q112::pattern0::L24,305.78349910842076,23.26103699667376,2.6343141131919765,LGBM,2,1,0,medium,low
Q113::pattern0::L24,356.5398796301502,74.09092989315657,9.288650424711477,LGBM,2,1,1,medium,medium
Q114::pattern0::L24,266.04847722032173,77.0742918821386,119.92961425781232,AutoARIMA,1,1,1,medium,medium
Q115::pattern0::L24,164.67746118467102,25.192614880737707,3.367962878503249,LGBM,2,0,0,low,low
Q116::pattern0::L24,561.8780022433023,89.01329218146311,1.6534423828125,XGB,3,2,1,high,medium
Q117::pattern0::L24,517.0831082864747,260.86485667342555,23.6329345703125,AutoARIMA,1,2,2,high,high
Q118::pattern0::L24,330.11213196289174,25.127360069870267,11.00447507811964,LGBM,2,1,0,medium,low
Q119::pattern0::L24,316.6182427904703,39.97576514762013,62.43083496093732,AutoARIMA,1,1,0,medium,low
Q11::pattern0::L24,28.820013409016553,6.345829756695095,0.8018799576836955,LGBM,2,0,0,low,low
Q120::pattern0::L24,275.27423782903094,32.966552208918756,6.075076316124296,XGB,3,1,0,medium,low
Q121::pattern0::L24,219.20485490301996,15.721040622877707,25.686073551982645,LGBM,2,1,0,medium,low
Q122::pattern0::L24,712.5540040347692,873.6786108456465,18.15172780899843,XGB,3,2,2,high,high
Q123::pattern0::L24,1081.4781103591959,517.7134716924321,616.0138086242835,AutoETS,0,2,2,high,high
