unique_id,Absolute energy,Area under the curve,Autocorrelation,Average power,Centroid,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,ECDF_9,Entropy,Histogram mode,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Mean absolute diff,Mean diff,Median,Median absolute deviation,Median absolute diff,Median diff,Min,Negative turning points,Neighbourhood peaks,Peak to peak distance,Positive turning points,Root mean square,Signal distance,Skewness,Slope,Standard deviation,Sum absolute diff,Variance,Zero crossing rate
Y583,988087809.0,135142.0,6.0,49404390.45,7.882069997283005,4.0,16.0,5268.0,7950.0,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.19047619047619047,0.23809523809523808,0.2857142857142857,0.3333333333333333,0.38095238095238093,0.42857142857142855,0.47619047619047616,1.0,8321.2,2178.0,-1.1314454871797475,8525.0,6744.238095238095,1059.1791383219954,218.5,-203.8,6760.0,1190.0,229.5,-229.5,4449.0,2.0,0.0,4076.0,2.0,6859.431494560714,4370.102187265209,-0.2582348566337976,-204.89090909090902,1251.8198525788996,4370.0,1567052.9433106577,0.0
Y467,229514837.0,79787.0,8.0,7403704.419354838,20.141881912409872,6.0,25.0,1916.0,3474.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.9875,1823.35,1490.75,-1.4380814394835093,3768.0,2582.15625,633.36328125,103.35483870967742,59.74193548387097,2377.0,505.5,80.0,58.0,1721.0,7.0,0.0,2047.0,7.0,2678.1222257861946,3204.7139052576536,0.4157278495233086,71.98112170087973,710.498245484067,3204.0,504807.7568359375,0.0
Y455,1189002103.5,133374.5,3.0,74312631.46875,8.648748786675297,3.0,13.0,7618.5,8746.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.5882352941176471,1.0,7579.8,946.5,-0.943274798475088,9533.0,8338.29411764706,550.4290657439446,251.5,94.75,8234.5,468.0,233.75,76.0,7477.0,2.0,0.0,2056.0,2.0,8363.091545946532,4024.066454291946,0.45570557558984826,111.68627450980395,643.5459684395589,4024.0,414151.4134948097,0.0
Y307,275856122.25,65181.5,5.0,15325340.125,12.136997157945078,3.0,15.0,2473.5,4719.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,1.0,2367.45,1656.25,-0.9103650061440787,5919.5,3643.7631578947367,925.382271468144,243.22222222222223,207.72222222222223,3591.5,911.0,202.75,202.75,2180.5,2.0,0.0,3739.0,2.0,3810.3468708656683,4378.05377261877,0.5212014662821871,197.5070175438598,1114.3308868934598,4378.0,1241733.3254847645,0.0
Y265,347318267.0,75521.5,5.0,19295459.277777776,11.022948890851168,3.0,15.0,3100.5,4753.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,1.0,4058.05,1039.75,-0.7775113509541907,5691.0,4196.210526315789,665.8836565096952,178.27777777777777,164.94444444444446,4316.5,625.0,179.5,179.5,2722.0,1.0,0.0,2969.0,1.0,4275.5009986519335,3209.055619417373,-0.06848658832346839,147.60350877193,819.5889264199762,3209.0,671726.0083102493,0.0
Y319,292879546.0,68506.75,5.0,16271085.888888888,11.361653002733076,3.0,15.0,2603.5,4747.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.5263157894736842,1.0,3529.8999999999996,1327.25,-0.7980968274130795,5671.0,3823.3684210526317,738.3739612188366,337.97222222222223,170.41666666666666,3655.0,746.0,240.0,153.0,2377.0,5.0,0.0,3294.0,4.0,3926.15752961702,6083.670405913264,0.21750477469461996,156.0780701754387,892.5059463476576,6083.5,796566.8642659279,0.0
Y231,909718702.0,162189.5,3.0,27567233.393939395,16.178350867848817,6.0,27.0,2960.0,6039.0,0.029411764705882353,0.058823529411764705,0.08823529411764706,0.11764705882352941,0.14705882352941177,0.17647058823529413,0.20588235294117646,0.23529411764705882,0.2647058823529412,0.29411764705882354,1.0,5304.7,2692.75,-1.0249800836274265,7903.0,4915.64705882353,1364.9653979238753,895.9090909090909,20.818181818181817,5258.0,1162.5,662.0,65.0,2129.0,7.0,1.0,5774.0,8.0,5172.66202373253,29565.109988967728,-0.19289156519756281,-10.664629488158873,1610.2317860619603,29565.0,2592846.4048442906,0.0
Y145,80895291.5943,29701.425,3.0,5393019.43962,11.35745898735641,3.0,12.0,1235.82,2176.02,0.0625,0.125,0.1875,0.25,0.3125,0.375,0.4375,0.5,0.5625,0.625,1.0,1270.1775,953.2650000000003,0.19263226005248013,4326.66,2026.2131250000002,792.7642968750001,236.186,214.48999999999998,1613.8049999999998,320.68499999999983,155.73000000000002,155.73000000000002,1109.31,1.0,0.0,3217.35,1.0,2248.5452462967583,3542.9579899544783,1.2524802645894608,185.55304411764706,974.8928642273901,3542.79,950416.0967214843,0.0
Y163,513641700.0,86835.0,2.0,32102606.25,7.33019398541824,3.0,13.0,4830.0,6030.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.5882352941176471,1.0,5001.0,1050.0,2.557579776859945,7080.0,5408.823529411765,690.5190311418686,744.375,-1.875,5400.0,480.0,525.0,-75.0,2460.0,3.0,0.0,4620.0,4.0,5496.746096288132,11910.028750665646,-1.161572424755436,-79.3382352941177,979.2066557884932,11910.0,958845.6747404846,0.0
Y444,1578218545.0,153721.5,5.0,98638659.0625,8.763999376905053,3.0,13.0,8588.0,10109.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.5882352941176471,1.0,9111.5,1010.0,-1.1053171749188078,11054.0,9604.764705882353,675.1626297577855,197.9375,136.9375,9521.0,584.0,152.0,103.0,8464.0,1.0,0.0,2590.0,2.0,9635.163984074168,3167.1184131551436,0.17718956924194348,153.23284313725486,764.7744403657057,3167.0,584879.9446366783,0.0
