task,system,metric,n_queries,mean,std,ci95_low,ci95_high,mean_p@10,mean_ap@10,mean_ndcg@15,mean_p@15,mean_ap@15
task1,random,ndcg@10,285,0.11389340853383859,0.07125797536035251,0.10541464011431603,0.12217613484216812,0.29894736842105263,0.006310184283912331,0.11506198741688047,0.2912280701754386,0.008314972104652521
task1,raw_cosine,ndcg@10,285,0.18889243795197394,0.15331650530188654,0.1708023394186062,0.20662333314745535,0.40035087719298246,0.011608054595036667,0.1786779575475027,0.3773099415204678,0.015191628075910613
task1,raw_dtw,ndcg@10,285,0.18424732948183117,0.14305853426660423,0.16807096148110487,0.20146043768445512,0.41789473684210526,0.011504769577550315,0.1793703747308264,0.3983625730994152,0.0152919567951292
task1,raw_dtw+tsfel,ndcg@10,285,0.25706693239930495,0.1637792373474126,0.23812149863949567,0.2757785731326877,0.5603508771929824,0.017723697711431882,0.24927209167452177,0.5347368421052632,0.02430146756727799
task1,tsfel,ndcg@10,285,0.25412433573004006,0.15946102410064256,0.23662410741012893,0.27255535629067207,0.5666666666666667,0.017922381788460912,0.25223823774459947,0.5485380116959064,0.025085680554889703
task2,pattern_raw_cosine,ndcg@10,285,0.1706297613216631,0.14648141444063814,0.15337273838759724,0.18843579877834105,0.4154385964912281,0.012202510595171365,0.16730145707774363,0.40023391812865494,0.0168023667017767
task2,pattern_raw_cosine+pattern_tsfel,ndcg@10,285,0.22076919196352623,0.1528281599779285,0.20325193748752507,0.23860855545291912,0.543859649122807,0.018148791524813843,0.22207503331491962,0.527485380116959,0.025315181457528254
task2,pattern_raw_dtw,ndcg@10,285,0.16522273601780252,0.14026614197038875,0.14978938595373745,0.1814903062526507,0.40842105263157896,0.011787630098070302,0.1654521381116143,0.4025730994152047,0.016394350663039202
task2,pattern_tsfel,ndcg@10,285,0.2177363719032746,0.14796527155424763,0.2008698402587514,0.2341732912171549,0.5431578947368422,0.017766761577781814,0.2203387803740301,0.5335672514619882,0.025132109605960552
task2,random,ndcg@10,285,0.09745143528633696,0.06839258270377756,0.08971583640897607,0.105344001653741,0.28526315789473683,0.005983101757514365,0.10070641963112226,0.28046783625731,0.007975313831666777
task1,random,ndcg@15,285,0.11506198741688047,0.05947435360212187,0.10808761549362858,0.12189470293427308,0.29894736842105263,0.006310184283912331,0.11506198741688047,0.2912280701754386,0.008314972104652521
task1,raw_cosine,ndcg@15,285,0.1786779575475027,0.1337839414510221,0.1628289118797796,0.19425355523341672,0.40035087719298246,0.011608054595036667,0.1786779575475027,0.3773099415204678,0.015191628075910613
task1,raw_dtw,ndcg@15,285,0.1793703747308264,0.12183139963901923,0.16526332221954337,0.19384670246555066,0.41789473684210526,0.011504769577550315,0.1793703747308264,0.3983625730994152,0.0152919567951292
task1,raw_dtw+tsfel,ndcg@15,285,0.24927209167452177,0.1456101925668983,0.2322310771339312,0.26610953067752957,0.5603508771929824,0.017723697711431882,0.24927209167452177,0.5347368421052632,0.02430146756727799
task1,tsfel,ndcg@15,285,0.25223823774459947,0.14455148696616132,0.2358382223801594,0.26903123713048754,0.5666666666666667,0.017922381788460912,0.25223823774459947,0.5485380116959064,0.025085680554889703
task2,pattern_raw_cosine,ndcg@15,285,0.16730145707774363,0.13599707530594846,0.15178470983130551,0.18381856209724784,0.4154385964912281,0.012202510595171365,0.16730145707774363,0.40023391812865494,0.0168023667017767
task2,pattern_raw_cosine+pattern_tsfel,ndcg@15,285,0.22207503331491962,0.1441618971880292,0.20510266494531243,0.23860168259970663,0.543859649122807,0.018148791524813843,0.22207503331491962,0.527485380116959,0.025315181457528254
task2,pattern_raw_dtw,ndcg@15,285,0.1654521381116143,0.12745382109218836,0.1511943240552538,0.1799374229880719,0.40842105263157896,0.011787630098070302,0.1654521381116143,0.4025730994152047,0.016394350663039202
task2,pattern_tsfel,ndcg@15,285,0.2203387803740301,0.1417368395415833,0.20405583895864138,0.23632967592476375,0.5431578947368422,0.017766761577781814,0.2203387803740301,0.5335672514619882,0.025132109605960552
task2,random,ndcg@15,285,0.10070641963112226,0.0594610985139728,0.09382246102646226,0.10776094337948312,0.28526315789473683,0.005983101757514365,0.10070641963112226,0.28046783625731,0.007975313831666777
