unique_id,Absolute energy,Area under the curve,Autocorrelation,Average power,Centroid,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,ECDF_9,Entropy,Histogram mode,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Mean absolute diff,Mean diff,Median,Median absolute deviation,Median absolute diff,Median diff,Min,Negative turning points,Neighbourhood peaks,Peak to peak distance,Positive turning points,Root mean square,Signal distance,Skewness,Slope,Standard deviation,Sum absolute diff,Variance,Zero crossing rate
M1::pattern0::L36,568584000.0,105300.0,1.0,21868615.384615384,10.298087881473977,5.0,21.0,2040.0,5880.0,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.3333333333333333,0.37037037037037035,0.9688429751322739,2166.0,3300.0,-0.48109075588051375,9000.0,3968.8888888888887,1940.082304526749,3013.846153846154,-41.53846153846154,3120.0,1080.0,2940.0,-60.0,960.0,10.0,0.0,8040.0,11.0,4588.972288722897,78360.01236222999,0.8385305961563393,-97.94871794871797,2303.603189423254,78360.0,5306587.654320989,0.0
M10::pattern0::L36,615002800.0,117000.0,2.0,23653953.846153848,12.692208230596673,5.0,21.0,2560.0,5720.0,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.3333333333333333,0.37037037037037035,0.9688429751322739,4567.0,2250.0,-0.40738599350820914,8340.0,4458.518518518518,1361.6460905349795,1372.3076923076924,-146.15384615384616,4460.0,1220.0,1230.0,-300.0,1480.0,8.0,0.0,6860.0,8.0,4772.617885551019,35680.02555488903,0.31539824149532414,-20.244200244200332,1702.790093202599,35680.0,2899494.1015089164,0.0
M100::pattern0::L36,1148423400.0,167520.0,1.0,44170130.76923077,11.977585444532043,5.0,21.0,5790.0,6900.0,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.3333333333333333,0.37037037037037035,1.0000000000000002,6178.5,935.0,0.23895503141917684,8720.0,6462.222222222223,675.2263374485598,990.7692307692307,-90.0,6340.0,450.0,920.0,-275.0,4810.0,9.0,0.0,3910.0,9.0,6521.824897986759,25760.028537983722,0.6113341782057237,-53.95604395604403,879.706741259429,25760.0,773883.950617284,0.0
M1001::pattern0::L36,778543968.8499999,139379.85,7.0,29943998.801923074,13.676042011368285,5.0,21.0,5082.0,5530.8,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.3333333333333333,0.37037037037037035,1.0000000000000002,5098.465,378.3000000000002,-1.0121562056624962,5854.0,5364.655555555556,202.6172839506173,36.44230769230773,29.857692307692314,5330.0,197.30000000000018,35.90000000000009,35.90000000000009,5058.7,5.0,0.0,795.3000000000002,5.0,5369.819532280322,948.1470569924936,0.36144180522829195,29.786080586080484,235.44124427587627,947.5000000000009,55432.57950617284,0.0
M1003::pattern0::L36,620838904.27,124566.2,8.0,23878419.395,13.490629446246059,5.0,21.0,4628.8,4912.0,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.3333333333333333,0.37037037037037035,1.0000000000000002,4645.5,247.30000000000018,-1.0760796055219723,5114.7,4792.774074074074,135.33058984910838,27.19230769230755,21.23076923076923,4806.9,140.89999999999964,22.049999999999727,20.15000000000009,4562.7,5.0,0.0,552.0,5.0,4795.209431451506,708.0998070006705,0.1926537699434603,19.362942612942557,152.80761226091914,706.9999999999964,23350.166364883404,0.0
M1004::pattern0::L36,1064579894.0,163164.5,5.0,40945380.538461536,13.350175712598983,5.0,21.0,6101.0,6358.0,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.3333333333333333,0.37037037037037035,0.9844214875661371,6094.15,193.5,-0.08045715619048988,6656.0,6277.407407407408,119.57750342935526,47.42307692307692,25.423076923076923,6289.0,97.0,39.5,24.0,5995.0,7.0,0.0,661.0,7.0,6279.242387658161,1233.9515201260433,0.3934939124089626,18.078754578754456,151.79329494274364,1233.0,23041.20438957476,0.0
M1006::pattern0::L36,928449209.3599999,152123.9,7.0,35709584.97538461,13.883073344803826,5.0,21.0,5457.4,6125.1,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.3333333333333333,0.37037037037037035,1.0000000000000002,5475.26,551.0,-1.118181295062417,6471.05,5854.511111111111,287.25308641975306,40.68461538461532,40.2423076923077,5810.5,278.1999999999998,40.84999999999991,40.84999999999991,5422.85,2.0,0.0,1048.1999999999998,1.0,5864.043635075891,1058.5002337852188,0.3458453180860162,42.4606837606837,334.2265757695179,1057.7999999999984,111707.4039506173,0.0
M1007::pattern0::L36,1024052565.75,160006.75,7.0,39386637.14423077,13.56059664484074,5.0,21.0,5908.0,6277.0,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.3333333333333333,0.37037037037037035,1.0000000000000002,6202.875,305.0,-0.9654316326626091,6555.0,6154.462962962963,187.63100137174212,43.28846153846154,30.096153846153847,6172.0,186.0,41.25,35.25,5772.5,5.0,0.0,782.5,5.0,6158.560936254146,1126.08174340158,0.08278689136685245,28.447496947496816,224.62956856278365,1125.5,50458.44307270232,0.0
M1008::pattern0::L36,1383835496.44,185603.7,7.0,53224442.17076923,13.894210487621825,5.0,21.0,6719.3,7434.1,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.3333333333333333,0.37037037037037035,1.0000000000000002,6761.530000000001,684.6000000000004,-0.9442818348611559,7985.7,7146.659259259259,364.72510288065837,54.59999999999991,48.43076923076922,7059.9,335.0,49.400000000000546,49.400000000000546,6697.1,3.0,0.0,1288.5999999999995,2.0,7159.1316886068535,1420.272986855125,0.6111046211657027,52.161782661782624,422.4073470699942,1419.5999999999976,178427.96685871054,0.0
M1009::pattern0::L36,1303578944.8400002,180341.1,5.0,50137651.72461539,13.78649333119279,5.0,21.0,6489.6,7097.2,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.2962962962962963,0.3333333333333333,0.37037037037037035,1.0000000000000002,6931.33,422.60000000000036,-0.6717547749077992,7637.2,6938.792592592594,287.9764060356655,77.63846153846144,48.06923076923078,6915.0,213.60000000000036,57.69999999999982,44.0,6353.8,6.0,0.0,1283.3999999999996,6.0,6948.431597183695,2019.4802801482103,0.3050326901760882,44.892063492063286,365.86748656160756,2018.5999999999976,133859.0177229081,0.0
