unique_id,Absolute energy,Area under the curve,Autocorrelation,Average power,Centroid,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,ECDF_9,Entropy,Histogram mode,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Mean absolute diff,Mean diff,Median,Median absolute deviation,Median absolute diff,Median diff,Min,Negative turning points,Neighbourhood peaks,Peak to peak distance,Positive turning points,Root mean square,Signal distance,Skewness,Slope,Standard deviation,Sum absolute diff,Variance,Zero crossing rate
M564,3130371275.0,640002.5,2.0,22359794.82142857,80.28349518221285,28.0,112.0,3530.0,5475.0,0.0070921985815602835,0.014184397163120567,0.02127659574468085,0.028368794326241134,0.03546099290780142,0.0425531914893617,0.04964539007092199,0.05673758865248227,0.06382978723404255,0.07092198581560284,0.9721857088097043,4756.75,1570.0,-0.293833074387714,7225.0,4571.0283687943265,924.0687088174639,775.3928571428571,37.964285714285715,4700.0,770.0,605.0,185.0,1740.0,37.0,4.0,5485.0,37.0,4711.816498582268,108555.47488859581,-0.20768271572272753,15.297979365555024,1143.203554923417,108555.0,1306914.367989538,0.0
M3,1405209600.0,273030.0,1.0,21956400.0,39.97530845220528,13.0,52.0,2250.0,5640.0,0.015384615384615385,0.03076923076923077,0.046153846153846156,0.06153846153846154,0.07692307692307693,0.09230769230769231,0.1076923076923077,0.12307692307692308,0.13846153846153847,0.15384615384615385,0.946979996658295,5142.0,2700.0,-0.5004481440810755,8760.0,4246.153846153846,1559.7159763313612,1695.0,57.1875,4380.0,1350.0,1215.0,-105.0,720.0,19.0,3.0,8040.0,20.0,4649.58161889532,108481.05756250658,0.22602420279854948,58.389860139860126,1894.4093394940096,108480.0,3588786.74556213,0.0
M1076,3221165000.0,658100.0,2.0,23008321.42857143,77.58235374468553,28.0,112.0,4250.0,5350.0,0.0070921985815602835,0.014184397163120567,0.02127659574468085,0.028368794326241134,0.03546099290780142,0.0425531914893617,0.04964539007092199,0.05673758865248227,0.06382978723404255,0.07092198581560284,0.7538495832109935,4432.5,1000.0,0.7385680716314535,6300.0,4699.290780141844,683.7030330466274,511.42857142857144,5.0,4700.0,500.0,150.0,0.0,2150.0,31.0,3.0,4150.0,25.0,4779.6591765492685,71612.4675807881,-0.8288940821597246,10.727556830343751,872.8161362197028,71600.0,761808.0076454907,0.0
M500,6825904702.0,938448.5,32.0,50190475.75,83.78137186861652,27.0,109.0,5555.0,8316.0,0.0072992700729927005,0.014598540145985401,0.021897810218978103,0.029197080291970802,0.0364963503649635,0.043795620437956206,0.051094890510948905,0.058394160583941604,0.06569343065693431,0.072992700729927,0.9958865950518789,6869.45,2183.0,-0.7654368479196259,10115.0,6902.321167883211,1206.011721455592,237.0808823529412,40.4485294117647,6819.0,1091.0,195.0,29.5,4214.0,31.0,3.0,5901.0,32.0,7058.620397245397,32244.761986665922,0.1391656856930923,36.17679728190861,1477.1880069239987,32243.0,2182084.4078000956,0.0
M566,3826912000.0,691350.0,5.0,29665984.49612403,68.74005725765316,26.0,104.0,4480.0,6100.0,0.007692307692307693,0.015384615384615385,0.023076923076923078,0.03076923076923077,0.038461538461538464,0.046153846153846156,0.05384615384615385,0.06153846153846154,0.06923076923076923,0.07692307692307693,0.9182511210878597,6007.0,1310.0,-0.7477444458668443,7400.0,5353.2307692307695,739.3893491124261,446.6666666666667,14.728682170542635,5470.0,680.0,400.0,0.0,3420.0,37.0,6.0,3980.0,39.0,5425.659832258618,57623.319552751505,-0.14271497029905614,9.156918707069613,883.5750940047835,57620.0,780704.9467455621,0.0
M588,2860110800.0,627010.0,4.0,20429362.85714286,67.89811066060797,28.0,112.0,3920.0,4960.0,0.0070921985815602835,0.014184397163120567,0.02127659574468085,0.028368794326241134,0.03546099290780142,0.0425531914893617,0.04964539007092199,0.05673758865248227,0.06382978723404255,0.07092198581560284,0.8400095646236431,4534.0,760.0,-0.6742500891553096,5560.0,4474.751773049646,419.4094864443439,275.57142857142856,-9.285714285714286,4500.0,380.0,220.0,-20.0,3280.0,38.0,7.0,2280.0,39.0,4503.828788804615,38584.54979164523,-0.1865948689475109,-2.8151033862751205,510.9504168256477,38580.0,261070.32845430315,0.0
M867,3373731875.0,657862.5,25.0,25951783.653846152,59.85567471926026,26.0,104.0,4705.0,5535.0,0.007633587786259542,0.015267175572519083,0.022900763358778626,0.030534351145038167,0.03816793893129771,0.04580152671755725,0.05343511450381679,0.061068702290076333,0.06870229007633588,0.07633587786259542,0.8930631284592044,4644.5,607.5,-0.8674066154074573,5870.0,5060.343511450382,324.5731600722569,46.34615384615385,-6.961538461538462,4925.0,220.0,35.0,-5.0,4580.0,30.0,3.0,1290.0,31.0,5074.8082165845935,6032.733877772685,0.6990074396201033,-9.01134361821386,382.8863816284469,6025.0,146601.98123652468,0.0
M1059,3433490000.0,675175.0,26.0,24524928.57142857,83.11430570643864,28.0,112.0,3900.0,5750.0,0.0070921985815602835,0.014184397163120567,0.02127659574468085,0.028368794326241134,0.03546099290780142,0.0425531914893617,0.04964539007092199,0.05673758865248227,0.06382978723404255,0.07092198581560284,0.7940774107468033,4197.5,1650.0,-0.5748913589430962,6700.0,4821.985815602837,886.766259242493,443.92857142857144,12.5,4850.0,850.0,150.0,0.0,2150.0,30.0,1.0,4550.0,22.0,4934.672522853104,62171.46917030883,-0.20254160552498832,19.587953251423418,1048.5445636340223,62150.0,1099445.7019264624,0.0
M587,2868494325.0,629020.0,11.0,20489245.17857143,69.44861138953098,28.0,112.0,4175.0,4780.0,0.0070921985815602835,0.014184397163120567,0.02127659574468085,0.028368794326241134,0.03546099290780142,0.0425531914893617,0.04964539007092199,0.05673758865248227,0.06382978723404255,0.07092198581560284,0.9282146297955731,4598.25,500.0,0.12268388688695087,5550.0,4493.156028368794,304.59333031537653,158.57142857142858,1.1428571428571428,4520.0,255.0,120.0,-15.0,3435.0,36.0,5.0,2115.0,38.0,4510.424745296026,22202.313905848292,-0.11270130198639118,-0.4561839119825552,394.3098879205107,22200.0,155480.2877118857,0.0
M886,3253650675.0,646662.5,29.0,25028082.115384616,69.48974418558316,26.0,104.0,4715.0,5255.0,0.007633587786259542,0.015267175572519083,0.022900763358778626,0.030534351145038167,0.03816793893129771,0.04580152671755725,0.05343511450381679,0.061068702290076333,0.06870229007633588,0.07633587786259542,0.8597399856936206,5258.25,490.0,0.550243520401775,5325.0,4971.335877862595,293.0452770817552,31.96153846153846,8.26923076923077,5155.0,130.0,25.0,5.0,3990.0,28.0,4.0,1335.0,30.0,4983.676158563587,4170.229868948739,-1.1765392843182956,8.085837826295851,350.49628088077094,4155.0,122847.64291125226,0.0
M86,3783607200.0,471570.0,16.0,58209341.538461536,41.90352952071769,13.0,52.0,5040.0,8980.0,0.015151515151515152,0.030303030303030304,0.045454545454545456,0.06060606060606061,0.07575757575757576,0.09090909090909091,0.10606060606060606,0.12121212121212122,0.13636363636363635,0.15151515151515152,0.9749329463759004,7939.0,3525.0,-0.9526532611579182,10900.0,7252.121212121212,1824.8301193755738,940.0,112.92307692307692,7490.0,2020.0,740.0,80.0,2440.0,23.0,1.0,8460.0,22.0,7571.4847829327255,61100.08796263533,-0.2025314659515725,105.57394843962,2175.8032408477056,61100.0,4734119.742883379,0.0
M74,1424101200.0,293260.0,1.0,21909249.230769232,37.48732260038823,13.0,52.0,3360.0,5280.0,0.015151515151515152,0.030303030303030304,0.045454545454545456,0.06060606060606061,0.07575757575757576,0.09090909090909091,0.10606060606060606,0.12121212121212122,0.13636363636363635,0.15151515151515152,0.8740013009552532,3894.0,1485.0,-0.8165569074841756,6780.0,4517.878787878788,904.9127640036731,1087.6923076923076,35.07692307692308,4595.0,785.0,1140.0,-120.0,2340.0,22.0,1.0,4440.0,22.0,4645.1362637807415,70700.07602578671,0.06531603394491524,31.878927043106106,1079.8435845648219,70700.0,1166062.1671258037,0.0
M178,1498912800.0,297320.0,1.0,23060196.923076924,25.510838522427722,13.0,52.0,3320.0,5600.0,0.015151515151515152,0.030303030303030304,0.045454545454545456,0.06060606060606061,0.07575757575757576,0.09090909090909091,0.10606060606060606,0.12121212121212122,0.13636363636363635,0.15151515151515152,0.958000433651751,3785.0,1675.0,-0.060707417313672796,8120.0,4590.909090909091,1007.0523415977962,1140.923076923077,-75.07692307692308,4560.0,920.0,980.0,-120.0,2340.0,23.0,2.0,5780.0,23.0,4765.584958848179,74160.06793768382,0.5728126550183221,-45.7847823817973,1278.4184444102268,74160.0,1634353.7190082644,0.0
M1016,2904548467.0,606816.0,12.0,22342680.515384614,71.18471042507826,26.0,104.0,4085.0,5245.0,0.007633587786259542,0.015267175572519083,0.022900763358778626,0.030534351145038167,0.03816793893129771,0.04580152671755725,0.05343511450381679,0.061068702290076333,0.06870229007633588,0.07633587786259542,1.0,4119.35,1022.0,-0.603194674764759,6122.0,4664.633587786259,528.9493619252958,256.7846153846154,18.615384615384617,4683.0,516.0,213.0,12.0,3041.0,36.0,3.0,3081.0,37.0,4708.728671551386,33382.93325802621,-0.08512301799560376,10.436438370789503,642.8990542739696,33382.0,413319.1939863644,0.0
M904,3326216650.5299997,643718.3,31.0,25586281.927153844,78.01729144826776,26.0,104.0,4020.0,5617.0,0.007633587786259542,0.015267175572519083,0.022900763358778626,0.030534351145038167,0.03816793893129771,0.04580152671755725,0.05343511450381679,0.061068702290076333,0.06870229007633588,0.07633587786259542,1.0,5551.705,1413.2999999999993,-0.7280006237974885,6961.4,4951.678625954199,794.1069168463375,107.58923076923081,30.919999999999995,5204.0,607.1999999999998,77.05000000000018,50.80000000000018,2933.7,31.0,3.0,4027.7,30.0,5038.945008425764,13988.480321762816,-0.27788545393093,23.813212512678156,933.7267176252761,13986.600000000006,871845.5832072721,0.0
M883,3613815950.0,677760.0,33.0,27798584.230769232,73.6803304412888,26.0,104.0,4655.0,5665.0,0.007633587786259542,0.015267175572519083,0.022900763358778626,0.030534351145038167,0.03816793893129771,0.04580152671755725,0.05343511450381679,0.061068702290076333,0.06870229007633588,0.07633587786259542,0.9349711843663562,5588.25,877.5,-0.3911284069470202,6605.0,5213.206106870229,544.6162811024999,41.84615384615385,22.076923076923077,5455.0,485.0,35.0,25.0,3700.0,26.0,3.0,2905.0,24.0,5252.27391685829,5446.12399688413,-0.17565235748157107,16.1688464207548,639.4242605663895,5440.0,408863.38500087406,0.0
M325,955731200.0,312260.0,4.0,7833862.2950819675,41.918169878727404,24.0,98.0,1680.0,3140.0,0.008130081300813009,0.016260162601626018,0.024390243902439025,0.032520325203252036,0.04065040650406504,0.04878048780487805,0.056910569105691054,0.06504065040650407,0.07317073170731707,0.08130081300813008,0.9100698512812957,1514.0,1210.0,3.495874172338606,7480.0,2564.2276422764226,816.1623372331285,670.1639344262295,-23.60655737704918,2300.0,600.0,570.0,10.0,1200.0,40.0,6.0,6280.0,37.0,2787.5028892762743,81762.29900100525,1.6593480059898515,-17.886135868233396,1093.1189122456326,81760.0,1194908.956309075,0.0
M1133,3673016623.7000003,678989.3999999999,23.0,28253974.028461542,72.40459000176345,26.0,104.0,4100.0,6065.8,0.007633587786259542,0.015267175572519083,0.022900763358778626,0.030534351145038167,0.03816793893129771,0.04580152671755725,0.05343511450381679,0.061068702290076333,0.06870229007633588,0.07633587786259542,1.0,5962.115000000001,1519.6000000000004,-1.204984499321488,6374.6,5222.499236641221,766.7214381446304,108.33384615384614,14.947692307692312,5458.7,610.6999999999998,77.55000000000041,39.84999999999991,3624.7,31.0,3.0,2749.9000000000005,30.0,5295.119907745677,14087.121223320668,-0.47604508587012456,15.100086478407095,873.9545529868474,14083.399999999998,763796.5606864402,0.0
M1272,2252370783.25,534234.75,16.0,17193670.101145037,62.552591037854825,26.0,105.0,3362.5,4479.0,0.007575757575757576,0.015151515151515152,0.022727272727272728,0.030303030303030304,0.03787878787878788,0.045454545454545456,0.05303030303030303,0.06060606060606061,0.06818181818181818,0.07575757575757576,0.9892456931747485,4304.0,870.125,0.2195839745557966,5772.5,4084.6780303030305,477.2268135904499,72.20992366412214,-12.583969465648854,4157.25,378.25,51.0,-12.0,3102.5,31.0,3.0,2670.0,31.0,4130.788668598432,9463.842046549067,0.558124409259062,-3.716966340208612,615.4838855575089,9459.5,378820.41338096873,0.0
M763,4711488500.0,772255.0,4.0,36523166.666666664,70.22666698645237,26.0,104.0,5390.0,6650.0,0.007692307692307693,0.015384615384615385,0.023076923076923078,0.03076923076923077,0.038461538461538464,0.046153846153846156,0.05384615384615385,0.06153846153846154,0.06923076923076923,0.07692307692307693,0.947957751935528,6287.0,1040.0,-0.7929904712277054,7330.0,5982.846153846154,569.2863905325444,415.73643410852713,12.945736434108527,6085.0,555.0,330.0,0.0,4350.0,43.0,6.0,2980.0,44.0,6020.151097004894,53631.49523028028,-0.1840245303839252,12.485463409305074,669.1570295360535,53630.0,447771.1301775148,0.0
M336,2031600825.0,429537.5,23.0,16652465.778688524,33.7572270871666,24.0,98.0,1700.0,4940.0,0.008130081300813009,0.016260162601626018,0.024390243902439025,0.032520325203252036,0.04065040650406504,0.04878048780487805,0.056910569105691054,0.06504065040650407,0.07317073170731707,0.08130081300813008,0.9906315427419725,2293.5,2777.5,0.3776444376328514,9680.0,3517.357723577236,1655.6824641417145,1049.877049180328,-23.15573770491803,2915.0,1275.0,615.0,72.5,990.0,36.0,4.0,8690.0,36.0,4064.121046185606,128085.21033018049,1.0520215583879617,-44.329010331351455,2035.9947255433515,128085.0,4145274.5224403474,0.0
M302,1148716652.0,340020.0,17.0,9415710.262295082,41.080484617193484,24.0,98.0,1604.0,3574.0,0.008130081300813009,0.016260162601626018,0.024390243902439025,0.032520325203252036,0.04065040650406504,0.04878048780487805,0.056910569105691054,0.06504065040650407,0.07317073170731707,0.08130081300813008,0.9929736570564794,2217.0,1506.0,0.38616398699087995,6840.0,2782.4227642276423,998.4511864630839,931.311475409836,-18.688524590163933,2602.0,760.0,695.0,104.0,676.0,39.0,5.0,6164.0,40.0,3056.0038894539584,113620.42493358075,0.7863938443557046,-24.232822999832354,1263.8367511136594,113620.0,1597283.3334655298,0.0
M343,1069001800.0,306375.0,26.0,8762309.836065574,31.44658615167907,24.0,98.0,1130.0,3840.0,0.008130081300813009,0.016260162601626018,0.024390243902439025,0.032520325203252036,0.04065040650406504,0.04878048780487805,0.056910569105691054,0.06504065040650407,0.07317073170731707,0.08130081300813008,0.978036954757109,996.5,2035.0,0.3432380299765514,7580.0,2517.0731707317073,1251.255205234979,804.8360655737705,-21.229508196721312,2140.0,930.0,595.0,-10.0,650.0,39.0,4.0,6930.0,38.0,2948.062337318437,98190.31837154919,0.9826042787709743,-34.52438379486919,1534.7358723565683,98190.0,2355414.1978980764,0.0
M841,3230710350.0,644140.0,22.0,24851618.076923076,69.45760868813262,26.0,104.0,4595.0,5240.0,0.007633587786259542,0.015267175572519083,0.022900763358778626,0.030534351145038167,0.03816793893129771,0.04580152671755725,0.05343511450381679,0.061068702290076333,0.06870229007633588,0.07633587786259542,0.925623040402184,5185.0,547.5,-0.2849451903659901,5600.0,4953.511450381679,298.52922323873895,56.30769230769231,12.76923076923077,5025.0,255.0,45.0,20.0,3940.0,31.0,3.0,1660.0,31.0,4966.076023250378,7323.210637139186,-0.5199931161718063,7.8706827523621365,353.03736295168693,7320.0,124635.37963988112,0.0
M395,685384692.0,254175.0,3.0,5617907.31147541,79.95185813691911,24.0,98.0,1024.0,2888.0,0.008130081300813009,0.016260162601626018,0.024390243902439025,0.032520325203252036,0.04065040650406504,0.04878048780487805,0.056910569105691054,0.06504065040650407,0.07317073170731707,0.08130081300813008,0.9953157713709863,1187.6,1435.0,0.7591052546248696,5696.0,2075.040650406504,879.5388988036224,753.8852459016393,4.934426229508197,1974.0,782.0,559.0,13.0,392.0,36.0,6.0,5304.0,36.0,2360.557829897985,91974.39278033539,0.9259516978973868,18.46457546013853,1125.361971746529,91974.0,1266439.5674532356,0.0
M1122,2326184041.2151,530794.945,37.0,16615600.29439357,95.85780257182107,28.0,112.0,2100.73,5411.99,0.0070921985815602835,0.014184397163120567,0.02127659574468085,0.028368794326241134,0.03546099290780142,0.0425531914893617,0.04964539007092199,0.05673758865248227,0.06382978723404255,0.07092198581560284,1.0,5504.3825,2975.2,-1.5538341121740713,5708.65,3789.6267375886523,1330.4597424676829,50.17778571428568,26.689642857142854,3611.24,1645.0,38.549999999999955,23.825000000000273,1623.3,28.0,2.0,4085.3499999999995,28.0,4061.7433643146264,7029.9720448593725,-0.12446506672487807,34.86685153474037,1461.673132853952,7024.889999999996,2136488.347307087,0.0
M783,2626576825.0,571407.5,27.0,20204437.115384616,77.72730977514811,26.0,104.0,3650.0,5175.0,0.007633587786259542,0.015267175572519083,0.022900763358778626,0.030534351145038167,0.03816793893129771,0.04580152671755725,0.05343511450381679,0.061068702290076333,0.06870229007633588,0.07633587786259542,0.9644501249075786,4955.75,1255.0,-0.5539462435018083,6375.0,4393.167938931298,734.0877571237106,319.2692307692308,25.03846153846154,4480.0,675.0,267.5,-15.0,2320.0,44.0,6.0,4055.0,44.0,4477.7455009181085,41505.5694053837,-0.13665685090435847,20.614637271125815,866.1871803129507,41505.0,750280.2313385002,0.0
M1135,1909431296.0,479052.0,5.0,14687933.046153845,76.41998026201829,26.0,104.0,2840.0,4320.0,0.007633587786259542,0.015267175572519083,0.022900763358778626,0.030534351145038167,0.03816793893129771,0.04580152671755725,0.05343511450381679,0.061068702290076333,0.06870229007633588,0.07633587786259542,0.9701428049429311,3470.0,1076.0,4.609495628715013,8672.0,3682.0763358778627,710.5795699551309,499.75384615384615,16.984615384615385,3688.0,536.0,400.0,38.0,1736.0,39.0,6.0,6936.0,38.0,3817.8281024487374,64968.75495022833,1.0132561516870866,16.621662307158495,1009.0219406016809,64968.0,1018125.276615582,0.0
M65,907955000.0,227075.0,1.0,13968538.461538462,31.54130711323799,13.0,52.0,2250.0,4350.0,0.015151515151515152,0.030303030303030304,0.045454545454545456,0.06060606060606061,0.07575757575757576,0.09090909090909091,0.10606060606060606,0.12121212121212122,0.13636363636363635,0.15151515151515152,0.8959472244042226,3882.5,1537.5,0.07125763252423356,7100.0,3490.909090909091,984.8484848484848,1331.5384615384614,-5.384615384615385,3475.0,875.0,950.0,0.0,1250.0,19.0,3.0,5850.0,20.0,3709.028705657849,86552.05293041597,0.45510732232517465,-5.287548272622908,1253.17503103206,86550.0,1570447.658402204,0.0
M39,1961676000.0,344540.0,1.0,30179630.769230768,31.330762266551663,13.0,52.0,4280.0,6380.0,0.015151515151515152,0.030303030303030304,0.045454545454545456,0.06060606060606061,0.07575757575757576,0.09090909090909091,0.10606060606060606,0.12121212121212122,0.13636363636363635,0.15151515151515152,0.9598927142014404,5245.0,1665.0,-0.32529819018813066,8160.0,5320.0,953.939393939394,1468.923076923077,-35.69230769230769,5280.0,850.0,1380.0,-220.0,2860.0,19.0,2.0,5300.0,18.0,5451.822047385959,95480.06846369656,0.31225149946558306,-7.630936227951234,1191.6222708407377,95480.0,1419963.6363636365,0.0
