object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
M1000::pattern0::L36,32.56403792404426,19.255596549409347,3.102555338541606,AutoARIMA,1,0,0,bin_0,bin_0
M1001::pattern0::L36,157.2438999549417,23.92165118315382,35.125420783308385,XGB,3,0,0,bin_0,bin_0
M1002::pattern0::L36,46.615065270498995,25.40243153719283,2.6958405090793676,XGB,3,0,0,bin_0,bin_0
M1003::pattern0::L36,82.34774729574261,43.51792986683412,12.852652994791548,AutoARIMA,1,0,1,bin_0,bin_1
M1004::pattern0::L36,289.663209459581,204.04203393219368,13.85993885438424,LGBM,2,1,3,bin_1,bin_3
M1005::pattern0::L36,97.17892662315523,32.953495041273975,20.16723644053748,XGB,3,0,1,bin_0,bin_1
M1006::pattern0::L36,167.25416510969364,44.94881462530017,77.51263020833326,AutoARIMA,1,0,1,bin_0,bin_1
M1007::pattern0::L36,181.28311363730973,101.75653362196687,48.886393229166664,AutoETS,0,0,2,bin_0,bin_2
M1008::pattern0::L36,379.32719653228526,262.7393569958348,11.206217447916657,AutoETS,0,1,3,bin_1,bin_3
M1009::pattern0::L36,324.61598965500764,237.50297500749588,60.891813151041795,AutoETS,0,1,3,bin_1,bin_3
M100::pattern0::L36,789.109822302913,48.21946778415102,79.73567593040173,AutoARIMA,1,3,1,bin_3,bin_1
M1010::pattern0::L36,170.70636209352836,44.41695364016426,0.9260522769286581,LGBM,2,0,1,bin_0,bin_1
M1011::pattern0::L36,341.89865315043295,48.64490527766431,70.29752601319024,XGB,3,1,1,bin_1,bin_1
M1012::pattern0::L36,166.6120850027614,23.358293607851966,10.175927567079412,LGBM,2,0,0,bin_0,bin_0
M1013::pattern0::L36,87.0019422012455,15.679560311495674,13.107500000000073,AutoETS,0,0,0,bin_0,bin_0
M1014::pattern0::L36,168.25049747234507,4.144510933629199,0.0,AutoETS,0,0,0,bin_0,bin_0
M1015::pattern0::L36,290.2843165291811,125.99464817832809,124.82267252604167,AutoARIMA,1,1,2,bin_1,bin_2
M1016::pattern0::L36,260.2212068119236,98.6193967060279,22.978577247694375,XGB,3,1,2,bin_1,bin_2
M1017::pattern0::L36,720.9203167564892,230.01853396583707,202.9252448905405,AutoARIMA,1,2,3,bin_2,bin_3
M1018::pattern0::L36,111.09102591202986,53.255370182947516,7.855622914380554,LGBM,2,0,1,bin_0,bin_1
M1019::pattern0::L36,193.34094837060638,51.498037441473116,17.505443873050638,XGB,3,0,1,bin_0,bin_1
M101::pattern0::L36,544.6055397548811,15.873148096021186,5.65938394922523,LGBM,2,2,0,bin_2,bin_0
M1020::pattern0::L36,51.16633963398192,6.142325361907256,9.224892115114166,LGBM,2,0,0,bin_0,bin_0
M1021::pattern0::L36,676.4458990540327,20.307664406607042,16.95530352345304,LGBM,2,2,0,bin_2,bin_0
M1022::pattern0::L36,1146.9458330102534,43.83754959883735,52.843912760416515,AutoARIMA,1,3,1,bin_3,bin_1
M1023::pattern0::L36,83.38622545744809,64.26855951121577,24.354016413125922,XGB,3,0,2,bin_0,bin_2
M1024::pattern0::L36,107.05823623964466,44.22762950742104,9.119273083578264,XGB,3,0,1,bin_0,bin_1
M1025::pattern0::L36,226.24385717155616,73.92949015404018,153.12396384247495,AutoARIMA,1,1,2,bin_1,bin_2
M1026::pattern0::L36,127.90446236123087,21.811346812602206,1.55322265625,AutoETS,0,0,0,bin_0,bin_0
