run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,task,split,n_queries,n_queries_with_positive_qrels,qrels_rows,mean_positive_qrels_per_query,median_positive_qrels_per_query,min_positive_qrels_per_query,max_positive_qrels_per_query,mean_relevance,relevance_1_rows,relevance_2_rows,relevance_3_rows,relevance_4_rows
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task1,test,285,285,138106,484.58245614035087,476.0,434,568,2.683677754768077,15981,34762,64325,23038
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task2,test,285,285,136143,477.69473684210527,471.0,443,544,2.6571105381841154,14014,37796,65191,19142
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task2_L12,test,285,285,134729,472.73333333333335,461.0,441,529,2.7025362023023995,12605,34707,67577,19840
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task2_L36,test,285,285,135600,475.7894736842105,473.0,447,519,2.6391592920353983,13481,39608,64871,17640
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task1,test,285,285,139719,490.2421052631579,482.0,433,568,2.6669028550161396,17593,34401,64678,23047
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task2,test,285,285,136491,478.9157894736842,485.0,446,531,2.62355027071382,14359,40203,64390,17539
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task2_L12,test,285,285,134729,472.73333333333335,461.0,441,529,2.7025362023023995,12605,34707,67577,19840
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task2_L36,test,285,285,136769,479.89122807017543,472.0,448,507,2.59080639618627,14651,43273,62235,16610
freqmonthly__bins2__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,12,42,1,full,task1,test,285,285,140197,491.919298245614,479.0,432,558,2.6536302488640984,18076,35565,63399,23157
freqmonthly__bins2__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,12,42,1,full,task2,test,285,285,136491,478.9157894736842,485.0,446,531,2.62355027071382,14359,40203,64390,17539
freqmonthly__bins2__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,12,42,1,full,task2_L12,test,285,285,134729,472.73333333333335,461.0,441,529,2.7025362023023995,12605,34707,67577,19840
freqmonthly__bins2__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,12,42,1,full,task2_L36,test,285,285,136308,478.2736842105263,477.0,448,531,2.623910555506647,14182,40863,63300,17963
freqmonthly__bins3__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,3,42,1,full,task1,test,285,285,92303,323.8701754385965,326.0,294,370,2.542452574672546,10870,31825,38276,11332
freqmonthly__bins3__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,3,42,1,full,task2,test,285,285,90924,319.0315789473684,312.0,296,362,2.516288328714091,9496,34419,37579,9430
freqmonthly__bins3__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,3,42,1,full,task2_L12,test,285,285,90943,319.0982456140351,312.0,290,345,2.5405253840317563,9526,32641,38869,9907
freqmonthly__bins3__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,3,42,1,full,task2_L36,test,285,285,90478,317.46666666666664,315.0,297,357,2.494075907955525,9055,36104,36880,8439
freqmonthly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,6,42,1,full,task1,test,285,285,93488,328.0280701754386,325.0,287,369,2.526463289406127,12063,31301,38967,11157
freqmonthly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,6,42,1,full,task2,test,285,285,91151,319.8280701754386,318.0,299,353,2.47526631633224,9752,36613,36499,8287
