run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,task,split,qrels_rows,n_queries_with_positive_qrels,mean_positive_qrels_per_query,median_positive_qrels_per_query,min_positive_qrels_per_query,max_positive_qrels_per_query,mean_relevance
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task1,test,138106,285,484.58245614035087,476.0,434,568,2.683677754768077
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task2_L12,test,134729,285,472.73333333333335,461.0,441,529,2.7025362023023995
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task2_L36,test,135600,285,475.7894736842105,473.0,447,519,2.6391592920353983
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,3,42,1,full,task2,test,136143,285,477.69473684210527,471.0,443,544,2.6571105381841154
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task1,test,139719,285,490.2421052631579,482.0,433,568,2.6669028550161396
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task2_L12,test,134729,285,472.73333333333335,461.0,441,529,2.7025362023023995
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task2_L36,test,136769,285,479.89122807017543,472.0,448,507,2.59080639618627
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,6,42,1,full,task2,test,136491,285,478.9157894736842,485.0,446,531,2.62355027071382
freqmonthly__bins2__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,12,42,1,full,task1,test,140197,285,491.919298245614,479.0,432,558,2.6536302488640984
freqmonthly__bins2__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,12,42,1,full,task2_L12,test,134729,285,472.73333333333335,461.0,441,529,2.7025362023023995
freqmonthly__bins2__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,12,42,1,full,task2_L36,test,136308,285,478.2736842105263,477.0,448,531,2.623910555506647
freqmonthly__bins2__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",2,12,42,1,full,task2,test,136491,285,478.9157894736842,485.0,446,531,2.62355027071382
freqmonthly__bins3__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,3,42,1,full,task1,test,92303,285,323.8701754385965,326.0,294,370,2.542452574672546
freqmonthly__bins3__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,3,42,1,full,task2_L12,test,90943,285,319.0982456140351,312.0,290,345,2.5405253840317563
freqmonthly__bins3__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,3,42,1,full,task2_L36,test,90478,285,317.46666666666664,315.0,297,357,2.494075907955525
freqmonthly__bins3__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,3,42,1,full,task2,test,90924,285,319.0315789473684,312.0,296,362,2.516288328714091
freqmonthly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,6,42,1,full,task1,test,93488,285,328.0280701754386,325.0,287,369,2.526463289406127
freqmonthly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,6,42,1,full,task2_L12,test,90943,285,319.0982456140351,312.0,290,345,2.5405253840317563
freqmonthly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,6,42,1,full,task2_L36,test,90869,285,318.8385964912281,313.0,302,347,2.4502195468201475
freqmonthly__bins3__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,6,42,1,full,task2,test,91151,285,319.8280701754386,318.0,299,353,2.47526631633224
freqmonthly__bins3__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,12,42,1,full,task1,test,93560,285,328.280701754386,332.0,291,377,2.517154766994442
freqmonthly__bins3__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,12,42,1,full,task2_L12,test,90943,285,319.0982456140351,312.0,290,345,2.5405253840317563
freqmonthly__bins3__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,12,42,1,full,task2_L36,test,91100,285,319.64912280701753,315.0,296,356,2.4662568605927553
freqmonthly__bins3__h12__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins3__h12__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",3,12,42,1,full,task2,test,91151,285,319.8280701754386,318.0,299,353,2.47526631633224
freqmonthly__bins4__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,3,42,1,full,task1,test,68843,285,241.55438596491229,239.0,217,288,2.4755748587365454
freqmonthly__bins4__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,3,42,1,full,task2_L12,test,67807,285,237.91929824561404,235.0,219,259,2.4649225006267788
freqmonthly__bins4__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,3,42,1,full,task2_L36,test,67111,285,235.47719298245613,232.0,221,261,2.4408517232644424
freqmonthly__bins4__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,3,42,1,full,task2,test,67403,285,236.50175438596492,232.0,221,274,2.4592228832544545
freqmonthly__bins4__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins4__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24,"12,24,36",4,6,42,1,full,task1,test,69151,285,242.63508771929824,242.0,216,278,2.467267284637966
