run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,scope,error_regime,best_model,disagreement_regime,n
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_0,AutoARIMA,bin_0,182
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_0,AutoARIMA,bin_1,73
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_0,AutoETS,bin_0,162
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_0,AutoETS,bin_1,100
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_0,LGBM,bin_0,76
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_0,LGBM,bin_1,14
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_0,XGB,bin_0,77
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_0,XGB,bin_1,15
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_1,AutoARIMA,bin_0,75
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_1,AutoARIMA,bin_1,165
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_1,AutoETS,bin_0,71
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_1,AutoETS,bin_1,244
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_1,LGBM,bin_0,31
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_1,LGBM,bin_1,45
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_1,XGB,bin_0,41
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,3,42,1,full,whole_series,bin_1,XGB,bin_1,57
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_0,AutoARIMA,bin_0,160
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_0,AutoARIMA,bin_1,85
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_0,AutoETS,bin_0,134
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_0,AutoETS,bin_1,77
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_0,LGBM,bin_0,92
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_0,LGBM,bin_1,23
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_0,XGB,bin_0,92
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_0,XGB,bin_1,28
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_1,AutoARIMA,bin_0,64
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_1,AutoARIMA,bin_1,202
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_1,AutoETS,bin_0,43
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_1,AutoETS,bin_1,109
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_1,LGBM,bin_0,63
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_1,LGBM,bin_1,100
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_1,XGB,bin_0,59
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,3,42,1,full,pattern_main,bin_1,XGB,bin_1,97
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,12.0,"12,24,36",2,3,42,1,full,pattern_length,bin_0,AutoARIMA,bin_0,149
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,12.0,"12,24,36",2,3,42,1,full,pattern_length,bin_0,AutoARIMA,bin_1,85
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,12.0,"12,24,36",2,3,42,1,full,pattern_length,bin_0,AutoETS,bin_0,134
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,12.0,"12,24,36",2,3,42,1,full,pattern_length,bin_0,AutoETS,bin_1,49
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,12.0,"12,24,36",2,3,42,1,full,pattern_length,bin_0,LGBM,bin_0,127
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,12.0,"12,24,36",2,3,42,1,full,pattern_length,bin_0,LGBM,bin_1,19
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,12.0,"12,24,36",2,3,42,1,full,pattern_length,bin_0,XGB,bin_0,111
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,12.0,"12,24,36",2,3,42,1,full,pattern_length,bin_0,XGB,bin_1,21
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,12.0,"12,24,36",2,3,42,1,full,pattern_length,bin_1,AutoARIMA,bin_0,54
