unique_id,Absolute energy,Area under the curve,Autocorrelation,Average power,Centroid,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,Entropy,Histogram mode,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Mean absolute diff,Mean diff,Median,Median absolute deviation,Median absolute diff,Median diff,Min,Negative turning points,Neighbourhood peaks,Peak to peak distance,Positive turning points,Root mean square,Signal distance,Skewness,Slope,Standard deviation,Sum absolute diff,Variance,Zero crossing rate
Q1::pattern0::L12,265532499.0,43463.149999999994,3.0,33191562.375,4.203494798823099,1.0,7.0,5086.1,5656.4,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,5667.67,387.64999999999964,-1.2761825993391473,5770.3,5427.200000000001,192.79999999999998,105.66250000000002,73.88749999999993,5406.85,202.90000000000055,106.35000000000036,106.35000000000036,5086.1,1.0,0.0,684.1999999999998,2.0,5431.722654922653,845.3477211236651,0.11658517610982003,82.90833333333303,221.61037881832152,845.3000000000002,49111.15999999997,0.0
Q100::pattern0::L12,91753428.28,25702.1,1.0,11469178.535,4.09652554815688,1.0,7.0,2934.6,3260.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,3165.99,144.0,-0.6022827189698243,3448.8,3189.488888888889,117.56543209876544,188.675,17.17500000000001,3154.8,82.80000000000018,185.79999999999995,52.40000000000009,2934.6,2.0,0.0,514.2000000000003,3.0,3192.9336611405574,1509.4351774775612,0.21933037953492762,23.269999999999694,148.2767415974786,1509.4,21985.99209876544,0.0
Q101::pattern0::L12,614955240.0,66626.0,1.0,76869405.0,4.154527734408767,1.0,7.0,7466.0,8566.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,7872.5,664.0,-0.8041447103517072,9092.0,8252.444444444445,391.50617283950606,541.5,45.0,8278.0,376.0,459.0,294.0,7466.0,2.0,0.0,1626.0,3.0,8266.09702338413,4332.010393036787,0.1441843515123027,95.86666666666608,474.89018873632745,4332.0,225520.6913580247,0.0
Q104::pattern0::L12,138525200.0,28407.0,1.0,17315650.0,3.8221385423013285,1.0,7.0,264.0,4398.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,3824.05,841.0,1.7303123621662841,5741.0,3672.8888888888887,850.3456790123457,1576.25,-273.0,3768.0,331.0,833.0,165.5,264.0,3.0,0.0,5477.0,3.0,3923.22429755028,12610.00987468693,-1.2693722960316454,59.066666666666485,1378.9764678069862,12610.0,1901576.098765432,0.0
Q105::pattern0::L12,28019488.0,14134.0,1.0,3502436.0,3.992738482587548,1.0,7.0,1394.0,1878.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,1723.4,314.0,-0.8664490122255315,2126.0,1751.111111111111,176.54320987654322,348.0,-23.5,1752.0,188.0,399.0,51.0,1394.0,2.0,0.0,732.0,3.0,1764.4479149140234,2784.031318866121,0.03526393550587332,-4.000000000000222,216.53249406879863,2784.0,46886.32098765432,0.0
Q106::pattern0::L12,393651037.56,53060.799999999996,1.0,49206379.695,3.8504596991160542,1.0,7.0,5813.6,6857.2,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,6809.15,685.1999999999998,-1.0804048905912658,7141.0,6599.5777777777785,375.8962962962959,643.4999999999999,-130.44999999999993,6829.8,215.40000000000055,669.5,-121.40000000000009,5813.6,3.0,0.0,1327.3999999999996,4.0,6613.547019061203,5148.0103562329905,-0.5709869422766678,-78.23000000000066,429.62463662488165,5147.999999999999,184577.32839506157,0.0
Q107::pattern0::L12,95960254.94,26079.75,1.0,11995031.8675,4.481003127793483,1.0,7.0,2543.5,3236.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,2640.575,410.0,-0.2665622734557491,4485.0,3206.1111111111113,489.43703703703716,745.8875,57.9375,3007.0,229.0,751.7,161.95000000000005,2543.5,1.0,0.0,1941.5,2.0,3265.3101765205843,5967.113188577212,1.0668412316867986,116.05833333333318,618.9524150520501,5967.1,383102.09209876537,0.0
Q109::pattern0::L12,91254878.29,25412.1,2.0,11406859.78625,4.357224906556827,1.0,7.0,2757.0,3326.1,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,2797.5,311.1999999999998,-1.0630283328219245,3567.0,3174.211111111111,213.3234567901235,183.45,73.52500000000003,3169.3,156.79999999999973,181.20000000000005,72.25,2757.0,2.0,0.0,810.0,2.0,3184.2473084091807,1467.6283687348564,-0.13575133596597255,86.045,252.61580158390046,1467.6,63814.74320987657,0.0
Q111::pattern0::L12,127403828.72749999,29647.6,1.0,15925478.590937499,4.777526932407786,1.0,7.0,2707.8,3853.1,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,3146.5575000000003,738.0999999999999,0.21303297345034133,5632.85,3658.6722222222215,702.3580246913579,944.5124999999999,143.16249999999997,3281.15,487.5499999999997,942.3999999999996,217.79999999999995,2707.8,1.0,0.0,2925.05,2.0,3762.443483924007,7556.110045826597,1.104111650915766,213.57749999999962,877.5525853541362,7556.099999999999,770098.5400617286,0.0
Q113::pattern0::L12,127320845.32499999,30219.4,1.0,15915105.665624999,4.316925788129973,1.0,7.0,3191.85,3972.6,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,3256.7225,464.0999999999999,-0.9200720593326923,4489.3,3736.3111111111107,367.70370370370364,486.3500000000001,53.88749999999999,3611.6,321.5,438.85000000000014,158.32500000000005,3191.85,1.0,0.0,1297.4500000000003,2.0,3761.2179665191784,3890.818258639777,0.6354263105737225,91.00166666666638,432.1340910577653,3890.8000000000006,186739.87265432102,0.0
Q114::pattern0::L12,235941485.72,41049.600000000006,3.0,29492685.715,4.209038970147585,1.0,7.0,4670.8,5286.4,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,1.0,5123.835,335.0,-0.830392723623508,5494.5,5114.2444444444445,204.32839506172826,192.97500000000002,76.94999999999993,5148.0,196.60000000000036,183.25,98.30000000000018,4670.8,1.0,0.0,823.6999999999998,2.0,5120.128966691714,1543.8331034398018,-0.12264170736100473,81.11166666666615,245.40659735363943,1543.8000000000002,60224.398024691305,0.0
