unique_id,Absolute energy,Area under the curve,Autocorrelation,Average power,Centroid,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,ECDF_9,Entropy,Histogram mode,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Mean absolute diff,Mean diff,Median,Median absolute deviation,Median absolute diff,Median diff,Min,Negative turning points,Neighbourhood peaks,Peak to peak distance,Positive turning points,Root mean square,Signal distance,Skewness,Slope,Standard deviation,Sum absolute diff,Variance,Zero crossing rate
Q1::pattern0::L36,753350580.3739,147039.94500000004,8.0,24301631.624964517,18.790591290359128,6.0,25.0,3200.94,5605.15,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,1.0,5638.004000000001,2215.7374999999997,-1.5494191283442142,5770.3,4729.9346875,1012.15134765625,114.97645161290323,77.00548387096775,5354.8,337.0999999999999,45.61999999999989,24.850000000000364,3124.38,8.0,1.0,2645.92,8.0,4852.031083647793,3564.7736086743257,-0.5889422207429105,102.46809934017593,1081.630014685545,3564.2700000000004,1169923.4886686523,0.0
Q100::pattern0::L36,307661480.76,94926.5,7.0,9924563.89548387,17.947608586033642,6.0,25.0,2497.8,3388.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,1.0,3216.38,737.6499999999996,-0.9310586515935717,3974.0,3068.7937500000003,373.39531249999993,148.8967741935484,45.103225806451604,3147.9,308.10000000000014,127.59999999999991,66.0,2290.4,9.0,0.0,1683.6,8.0,3100.713026668221,4616.001510186253,-0.08452709292871687,45.214332844574784,443.7636687595521,4615.8,196926.19371093748,0.0
Q101::pattern0::L36,1682407095.2,217622.5,8.0,54271196.61935484,19.235589018692817,6.0,25.0,4632.4,8328.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.9875,8134.75,3202.3,-1.4213489415498934,9556.0,7010.5,1714.0,625.6322580645161,183.38709677419354,7899.0,980.0,506.0,382.0,3871.0,11.0,0.0,5685.0,11.0,7250.877307264273,19394.69709211973,-0.444521562197137,175.3568181818181,1851.515993719741,19394.6,3428111.4749999996,0.0
Q104::pattern0::L36,560225378.0,123997.5,2.0,18071786.387096774,13.136360409577875,6.0,25.0,3133.0,4840.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,1.0,3889.6000000000004,1100.5,1.4480140495877025,6856.0,4001.0625,897.703125,850.6774193548387,-12.03225806451613,3792.0,528.5,664.0,82.0,264.0,9.0,1.0,6592.0,8.0,4184.14185496859,26371.055237017237,-0.1670713287141175,-55.85080645161294,1224.1494735504116,26371.0,1498541.93359375,0.0
Q105::pattern0::L36,133458976.0,61407.0,1.0,4305128.258064516,16.00216611882291,6.0,25.0,1518.0,2310.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.9875,1793.5,672.5,2.3924119982745164,3742.0,1978.125,390.6484375,533.0967741935484,48.32258064516129,1863.0,319.0,416.0,98.0,1144.0,12.0,0.0,2598.0,12.0,2042.202977179301,16526.072631612304,1.2007766768645247,10.37756598240468,507.5573705257367,16526.0,257614.484375,0.0
Q106::pattern0::L36,1261568177.1999998,194213.19999999995,3.0,40695747.6516129,15.015055952823857,6.0,25.0,5874.6,6614.4,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,1.0,6260.26,634.8000000000002,-0.20567714293508876,7141.0,6263.5,347.71875,358.9032258064515,-29.380645161290328,6268.6,339.7999999999993,280.0,39.0,5183.8,10.0,1.0,1957.1999999999998,9.0,6278.8538394758,11126.12200822792,-0.16427423293551252,-18.566129032258132,438.8317302793862,11125.999999999996,192573.28749999995,0.0
Q107::pattern0::L36,365974339.4788,99498.935,5.0,11805623.854154838,20.028699829109218,6.0,25.0,2153.1,3955.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,1.0,2022.7295,1297.275,0.014452136450100905,5901.0,3229.960625,801.5306640625,708.9629032258065,131.69,3106.25,706.4000000000001,393.0,213.0,1818.61,7.0,0.0,4082.3900000000003,7.0,3381.8187575197608,21977.89797106243,0.6899525899028922,89.52111070381234,1002.0241861662369,21977.850000000002,1004052.4696621094,0.0
Q109::pattern0::L36,298857528.6,92162.65,9.0,9640565.438709678,19.46275504792487,6.0,25.0,2136.8,3624.4,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,1.0,3548.725,1276.1,-1.4045763580017065,4125.5,2972.95625,638.13046875,159.60322580645158,74.42258064516129,3138.75,635.5,117.09999999999991,61.40000000000009,1818.4,6.0,0.0,2307.1,6.0,3056.026467285583,4947.913993911782,-0.16730246109966487,74.36195014662749,707.6926623442816,4947.699999999999,500828.90433593746,0.0
Q111::pattern0::L36,546782451.0350001,117655.25,6.0,17638143.581774198,21.70327572448989,6.0,25.0,2180.1,4954.75,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,1.0,2003.17,2043.8249999999998,-0.23786857069936795,7910.65,3826.7718750000004,1298.7732421874998,834.7677419354837,200.5935483870968,3524.925,1064.225,789.2999999999997,197.19999999999982,1692.25,7.0,0.0,6218.4,7.0,4133.636606529867,25877.846919666725,0.6794393339529682,151.07237903225806,1562.9358948954796,25877.799999999996,2442768.611552734,0.0
Q113::pattern0::L36,498307606.28749996,117675.625,7.0,16074438.9125,19.95156172775522,6.0,25.0,2647.05,4639.35,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,1.0,2407.6575000000003,1526.5124999999998,-0.827119047837404,6046.3,3806.4640625,877.8533203125,515.0887096774194,123.55322580645162,3617.2749999999996,842.625,397.64999999999964,263.5,2216.15,7.0,0.0,3830.15,7.0,3946.1516312078497,15967.813123166767,0.3547759876775202,104.08208394428146,1040.6459712026808,15967.75,1082944.037380371,0.0
