task,system,metric,n_queries,mean,std,ci95_low,ci95_high,mean_p@10,mean_ap@10,mean_ndcg@15,mean_p@15,mean_ap@15
task1,random,ndcg@10,151,0.2511745326135026,0.11028603002095035,0.23425638514057995,0.2679597883966086,0.5450331125827814,0.015097414984880703,0.2532729328921904,0.5540838852097131,0.021760858757505552
task1,raw_cosine,ndcg@10,151,0.30525601126164625,0.15986806898994801,0.2798380848916602,0.33048671141967934,0.5920529801324503,0.018443583849916928,0.29415932242541776,0.5770419426048565,0.025777524315090224
task1,raw_dtw,ndcg@10,151,0.31308495857853536,0.16777020176433505,0.28735796616313775,0.3412931422066349,0.6145695364238412,0.01928452099627586,0.3070293891633067,0.6039735099337747,0.02705930902287241
task1,raw_dtw+tsfel,ndcg@10,151,0.364889500481736,0.19819843848945906,0.3335469549717335,0.39737468482810084,0.7052980132450332,0.02452360444171094,0.3603613920954785,0.6962472406181015,0.03496679281727006
task1,tsfel,ndcg@10,151,0.3645108276384957,0.18968467340700693,0.3360117827316125,0.39650984963442326,0.7086092715231788,0.024350267479438636,0.36007871075111747,0.7015452538631347,0.03499889212863067
task2,pattern_raw_cosine,ndcg@10,151,0.292576833679699,0.15979641937457942,0.2679601766738031,0.318764645006061,0.5860927152317881,0.017951666511208518,0.2916413995543685,0.5827814569536424,0.025551738827338834
task2,pattern_raw_cosine+pattern_tsfel,ndcg@10,151,0.36501643944860157,0.18723914480136664,0.3334652767017988,0.3951593252843165,0.7139072847682119,0.024383243172964503,0.3581652988540794,0.7152317880794702,0.035528917587382684
task2,pattern_raw_dtw,ndcg@10,151,0.2974118120101634,0.16795352341136768,0.27126833368720876,0.32507491672653344,0.609271523178808,0.018549727023478412,0.2939098936380447,0.61280353200883,0.026875359609074518
task2,pattern_tsfel,ndcg@10,151,0.3738641810615576,0.19184256571861694,0.34322428736629823,0.4041122694347189,0.7317880794701986,0.025055469266503764,0.371585008025751,0.7333333333333334,0.03684390331627249
task2,random,ndcg@10,151,0.23870244389858708,0.11161996607076792,0.22154238432364737,0.2574805407697142,0.533112582781457,0.014130500235490135,0.23558798850505508,0.5368653421633554,0.020279827531358426
task1,random,ndcg@15,151,0.2532729328921904,0.09058688460976849,0.23928894460901054,0.2669011398775538,0.5450331125827814,0.015097414984880703,0.2532729328921904,0.5540838852097131,0.021760858757505552
task1,raw_cosine,ndcg@15,151,0.29415932242541776,0.14423687632974394,0.27159943188708424,0.3171724746441228,0.5920529801324503,0.018443583849916928,0.29415932242541776,0.5770419426048565,0.025777524315090224
task1,raw_dtw,ndcg@15,151,0.3070293891633067,0.144282973310595,0.28521421308696837,0.33145016883286343,0.6145695364238412,0.01928452099627586,0.3070293891633067,0.6039735099337747,0.02705930902287241
task1,raw_dtw+tsfel,ndcg@15,151,0.3603613920954785,0.1801688902349924,0.33131267679992216,0.3894423584287629,0.7052980132450332,0.02452360444171094,0.3603613920954785,0.6962472406181015,0.03496679281727006
task1,tsfel,ndcg@15,151,0.36007871075111747,0.1738802487159727,0.3336879748470729,0.389613931015584,0.7086092715231788,0.024350267479438636,0.36007871075111747,0.7015452538631347,0.03499889212863067
task2,pattern_raw_cosine,ndcg@15,151,0.2916413995543685,0.14950069457552773,0.26801582418071895,0.3165622348472209,0.5860927152317881,0.017951666511208518,0.2916413995543685,0.5827814569536424,0.025551738827338834
task2,pattern_raw_cosine+pattern_tsfel,ndcg@15,151,0.3581652988540794,0.16881247544436362,0.3314847659366369,0.38581083717708897,0.7139072847682119,0.024383243172964503,0.3581652988540794,0.7152317880794702,0.035528917587382684
task2,pattern_raw_dtw,ndcg@15,151,0.2939098936380447,0.1472743425645128,0.2706808447786764,0.3180001415067118,0.609271523178808,0.018549727023478412,0.2939098936380447,0.61280353200883,0.026875359609074518
task2,pattern_tsfel,ndcg@15,151,0.371585008025751,0.1790231341699569,0.34340326570368684,0.3999763887184848,0.7317880794701986,0.025055469266503764,0.371585008025751,0.7333333333333334,0.03684390331627249
task2,random,ndcg@15,151,0.23558798850505508,0.0962573837205167,0.22047734863257604,0.25140123718077934,0.533112582781457,0.014130500235490135,0.23558798850505508,0.5368653421633554,0.020279827531358426
