object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
Q291,68.32077648941826,10.937082517703267,7.884847005208329,AutoETS,0,0,0,bin_0,bin_0
Q306,976.1649025531559,1539.0561234688082,49.34416379453766,LGBM,2,1,1,bin_1,bin_1
Q321,48.9414727091001,12.4124068037057,7.181618929224591,LGBM,2,0,0,bin_0,bin_0
Q336,445.6295899166,77.12087492504294,39.0078125,AutoARIMA,1,1,0,bin_1,bin_0
Q351,232.55531895702165,71.55674745549388,91.53255208333333,AutoETS,0,0,0,bin_0,bin_0
Q366,172.30489519476012,25.23459146258255,55.019775390625,AutoARIMA,1,0,0,bin_0,bin_0
Q504,123.86874038502162,54.0073854633801,101.5298931807115,AutoETS,0,0,0,bin_0,bin_0
Q505,111.75686885022955,55.65447341208324,107.19588216145834,AutoARIMA,1,0,0,bin_0,bin_0
Q506,295.8675046276104,104.4553768359664,18.888875325520843,AutoARIMA,1,0,0,bin_0,bin_0
Q507,425.63318331123105,205.57158979811004,32.668619791666686,AutoARIMA,1,1,1,bin_1,bin_1
Q508,238.1069584323499,12.966463442705992,10.33447265625,AutoARIMA,1,0,0,bin_0,bin_0
Q509,49.66050592876327,23.338751819181297,13.839631136928343,XGB,3,0,0,bin_0,bin_0
Q510,127.02422624230368,9.66827134905251,8.553304036458329,XGB,3,0,0,bin_0,bin_0
Q511,442.6780607848058,121.55575966579902,33.02925618489587,AutoETS,0,1,1,bin_1,bin_1
Q512,181.79273291473487,50.98832186578444,95.06822983602281,AutoETS,0,0,0,bin_0,bin_0
Q513,128.0385396055856,8.607215963087834,12.8115234375,AutoETS,0,0,0,bin_0,bin_0
Q514,79.63700228758276,22.631676538273425,2.4753366242894117,XGB,3,0,0,bin_0,bin_0
Q515,106.97283281837993,71.9606305684813,13.293782552083336,AutoARIMA,1,0,0,bin_0,bin_0
Q516,393.2199438209841,284.08840934006173,151.09016927083334,AutoETS,0,1,1,bin_1,bin_1
Q517,120.32081458921328,66.35891218020039,17.63525390625,AutoETS,0,0,0,bin_0,bin_0
Q518,122.41049859009496,26.4407639058756,0.014322916666671404,AutoETS,0,0,0,bin_0,bin_0
Q519,149.05820837431298,46.62007367731348,0.010091145833328596,AutoETS,0,0,0,bin_0,bin_0
Q520,162.5724104639894,38.71264796355074,34.86328125,AutoARIMA,1,0,0,bin_0,bin_0
Q521,96.99757173202883,53.988023389877355,65.59469773540695,AutoARIMA,1,0,0,bin_0,bin_0
Q522,273.516091074585,91.26218387563355,13.31763439957686,LGBM,2,0,0,bin_0,bin_0
Q523,49.66050592876327,23.338751819181297,13.839631136928343,XGB,3,0,0,bin_0,bin_0
Q524,88.26560315656315,29.428648836877024,21.112263997395836,XGB,3,0,0,bin_0,bin_0
Q525,109.89324783169707,20.239942168760603,34.862548828125,AutoARIMA,1,0,0,bin_0,bin_0
Q526,421.6341918840755,64.21801507348114,39.52537430713545,XGB,3,1,0,bin_1,bin_0
Q527,49.66050592876327,23.338751819181297,13.839631136928343,XGB,3,0,0,bin_0,bin_0
Q528,155.31132599687916,39.19941346277186,36.21443684895833,XGB,3,0,0,bin_0,bin_0
Q529,48.917379734249685,26.64395572804561,5.812174479166668,AutoETS,0,0,0,bin_0,bin_0
Q530,79.63700228758276,22.631676538273425,2.4753366242894117,XGB,3,0,0,bin_0,bin_0
Q531,691.2167657223995,5.10991659329064,9.643185936472946,AutoETS,0,1,0,bin_1,bin_0
Q532,367.7231190564718,34.27251912679335,67.84501139322919,AutoETS,0,0,0,bin_0,bin_0
Q533,507.8641610137689,160.83043750530743,39.232014973958314,AutoETS,0,1,1,bin_1,bin_1
Q534,295.8675046276104,104.4553768359664,18.888875325520843,AutoARIMA,1,0,0,bin_0,bin_0
Q535,480.95527214517534,77.04065891440848,67.9669219140348,AutoETS,0,1,0,bin_1,bin_0
Q536,442.6780607848058,121.55575966579902,33.02925618489587,AutoETS,0,1,1,bin_1,bin_1
Q537,164.00429897987726,68.36924733757846,104.02989123200896,XGB,3,0,0,bin_0,bin_0
Q538,141.07033284437534,56.953517771875,85.43009440104166,AutoETS,0,0,0,bin_0,bin_0
Q539,73.28254529467195,24.064272217159445,7.284993489583336,AutoETS,0,0,0,bin_0,bin_0
Q540,154.76052780534997,58.447028743329184,103.90539247139986,AutoETS,0,0,0,bin_0,bin_0
Q541,123.86874038502162,54.0073854633801,101.5298931807115,AutoETS,0,0,0,bin_0,bin_0
Q542,114.16530875574756,40.18217321802561,5.376973955281912,AutoARIMA,1,0,0,bin_0,bin_0
Q543,127.02422624230368,9.66827134905251,8.553304036458329,XGB,3,0,0,bin_0,bin_0
Q544,143.82549692772426,39.571392998708525,18.29889526298045,XGB,3,0,0,bin_0,bin_0
Q545,187.51639793476667,58.41346113786159,51.91153971354167,AutoETS,0,0,0,bin_0,bin_0
Q546,143.5373658966531,72.95623363232755,13.599080403645829,AutoETS,0,0,0,bin_0,bin_0
Q547,277.8487077240427,59.48762282582639,131.301513671875,AutoARIMA,1,0,0,bin_0,bin_0
Q548,123.86874038502162,54.0073854633801,101.5298931807115,AutoETS,0,0,0,bin_0,bin_0
Q549,127.02422624230368,9.66827134905251,8.553304036458329,XGB,3,0,0,bin_0,bin_0
Q1,182.53684020829635,66.56227261722901,4.889577643377265,LGBM,2,0,0,bin_0,bin_0
Q10,653.4012770235169,182.59717539368557,359.5973639534428,AutoETS,0,1,1,bin_1,bin_1
Q100,741.7355332963991,164.79247122067153,37.485112908153724,LGBM,2,1,1,bin_1,bin_1
Q101,986.2198981041754,215.8519003977411,64.2984619140625,XGB,3,1,1,bin_1,bin_1
Q102,1346.245690183904,73.6311409369545,124.96475830078134,AutoETS,0,1,0,bin_1,bin_0
Q103,366.5595532962029,184.90364480335975,4.919135448000873,LGBM,2,0,1,bin_0,bin_1
Q104,497.57357468911505,117.68638728505206,200.8565851334132,AutoETS,0,1,1,bin_1,bin_1
Q105,366.8792143328958,88.57472756638447,97.67240905761719,AutoARIMA,1,0,0,bin_0,bin_0
Q106,221.0307471205012,12.027671068725686,15.029406738281295,AutoETS,0,0,0,bin_0,bin_0
Q107,444.6339807763154,243.85382481147343,75.65826416015625,AutoETS,0,1,1,bin_1,bin_1
Q108,1444.9020292093842,48.71959788179077,15.33807373046875,AutoETS,0,1,0,bin_1,bin_0
Q109,207.5348577581697,58.50045412435608,128.04837036132812,AutoETS,0,0,0,bin_0,bin_0
Q11,482.66506132973416,35.19614560995293,51.579345703125,AutoETS,0,1,0,bin_1,bin_0
Q110,494.0947847358642,120.74830602261939,140.8449951171874,AutoARIMA,1,1,1,bin_1,bin_1
Q111,707.8172985054136,147.51063488067646,306.18585205078125,AutoETS,0,1,1,bin_1,bin_1
Q112,752.0371780642552,76.53340645092999,9.801666358582906,XGB,3,1,0,bin_1,bin_0
Q113,453.8395749861055,167.51637786468928,298.3914794921875,AutoETS,0,1,1,bin_1,bin_1
Q114,1075.1935415492362,99.47195460255978,215.78444451725682,AutoETS,0,1,0,bin_1,bin_0
Q115,306.4258128471407,111.73294135287776,17.834525802625762,XGB,3,0,1,bin_0,bin_1
Q116,996.2899318337029,248.63091456516338,306.58746337890625,AutoETS,0,1,1,bin_1,bin_1
Q117,1142.1062374330654,24.29421145519846,9.976312036949594,AutoARIMA,1,1,0,bin_1,bin_0
Q118,478.84956638789646,27.24731456128637,32.13569230939822,XGB,3,1,0,bin_1,bin_0
Q119,533.2585059323638,91.01788688327775,105.81633300781255,AutoARIMA,1,1,0,bin_1,bin_0
Q12,356.98192597285305,149.58910364949537,175.4667114257811,AutoARIMA,1,0,1,bin_0,bin_1
Q120,478.1177891764838,140.7719971104855,2.9547119140625,AutoARIMA,1,1,1,bin_1,bin_1
Q121,780.5815822385881,108.76180398780956,237.881103515625,AutoETS,0,1,1,bin_1,bin_1
Q122,617.8580950022761,102.01196187661206,4.196955204416781,XGB,3,1,0,bin_1,bin_0
Q123,589.4119878628236,116.30535519370969,8.757102259643148,LGBM,2,1,1,bin_1,bin_1
Q124,116.92859242755577,25.272420555955833,10.783616129620668,LGBM,2,0,0,bin_0,bin_0
Q125,809.2605188466761,466.74750769190916,11.732783011732806,LGBM,2,1,1,bin_1,bin_1
Q126,1326.2217125419938,94.07237564719897,158.06805419921875,AutoETS,0,1,0,bin_1,bin_0
