object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
Q100::pattern0::L36,334.55728926089853,49.53289479802567,18.460968567031614,XGB,3,1,1,bin_1,bin_1
Q101::pattern0::L36,1125.6115105037857,130.3451598832262,18.945071266107334,LGBM,2,3,2,bin_3,bin_2
Q102::pattern0::L36,1478.9754320560523,70.49399224317618,0.6122750992090005,XGB,3,3,2,bin_3,bin_2
Q103::pattern0::L36,260.6878733542161,115.75843771823489,25.158140145380116,XGB,3,1,2,bin_1,bin_2
Q104::pattern0::L36,458.3291165261178,43.766595188906166,24.961181640625,AutoARIMA,1,2,1,bin_2,bin_1
Q105::pattern0::L36,394.5269195062615,173.19962681066963,7.381640822610279,LGBM,2,2,3,bin_2,bin_3
Q106::pattern0::L36,340.1756587891341,105.65820797791214,17.17128906249991,AutoARIMA,1,2,2,bin_2,bin_2
Q107::pattern0::L36,606.1956190076442,65.3342510624644,136.4619140625,AutoARIMA,1,3,1,bin_3,bin_1
Q108::pattern0::L36,907.1323927231629,40.755745255192124,11.67361386140169,XGB,3,3,1,bin_3,bin_1
Q109::pattern0::L36,278.362281258796,23.706573621285692,49.087158203125,AutoARIMA,1,1,0,bin_1,bin_0
Q10::pattern0::L36,221.0200968035627,43.64714348378418,35.17375341074944,LGBM,2,1,1,bin_1,bin_1
Q110::pattern0::L36,475.11996885641145,88.30228386636587,42.419489808728486,LGBM,2,2,2,bin_2,bin_2
Q111::pattern0::L36,835.9386068667355,76.36858796400149,5.6495202403789335,XGB,3,3,2,bin_3,bin_2
Q112::pattern0::L36,667.3737517027453,24.499364708602883,1.6627080327689328,LGBM,2,3,0,bin_3,bin_0
Q113::pattern0::L36,560.4035315045669,23.992434610351992,13.016884807330143,XGB,3,2,0,bin_2,bin_0
Q114::pattern0::L36,413.055738892603,49.791171340112875,94.3640444375992,AutoETS,0,2,1,bin_2,bin_1
Q115::pattern0::L36,131.41225452589072,16.074854325945342,7.738837439500912,XGB,3,0,0,bin_0,bin_0
Q116::pattern0::L36,1437.5937040958584,68.9817387173678,12.787659202503619,LGBM,2,3,2,bin_3,bin_2
Q117::pattern0::L36,501.98845880744983,25.33775143465415,32.792724609375,AutoARIMA,1,2,0,bin_2,bin_0
Q118::pattern0::L36,437.5637350766645,53.570371830193245,15.124471556658364,XGB,3,2,1,bin_2,bin_1
Q119::pattern0::L36,505.9557840797268,19.36879595344097,0.29615079046811843,LGBM,2,2,0,bin_2,bin_0
Q11::pattern0::L36,379.3014687052994,21.761746843995553,44.0966796875,AutoARIMA,1,2,0,bin_2,bin_0
Q120::pattern0::L36,314.5289387125233,120.98451753021311,9.378230436030208,XGB,3,1,2,bin_1,bin_2
Q121::pattern0::L36,297.7884945265241,78.82366831724207,10.818434003279435,LGBM,2,1,2,bin_1,bin_2
Q122::pattern0::L36,367.02176782906906,45.86402180758622,5.387168972526069,XGB,3,2,1,bin_2,bin_1
Q123::pattern0::L36,320.19640799503617,147.1025273823741,16.84278598860533,LGBM,2,1,3,bin_1,bin_3
Q124::pattern0::L36,92.40529922472581,11.276252731996527,7.251043090309622,AutoETS,0,0,0,bin_0,bin_0
Q125::pattern0::L36,375.3460479701388,141.88885851302294,38.467854017882246,LGBM,2,2,3,bin_2,bin_3
Q126::pattern0::L36,593.3575129735325,15.315813066250115,13.763159179687591,XGB,3,3,0,bin_3,bin_0
Q127::pattern0::L36,509.8310848639885,83.41069868400571,175.73684082031264,AutoARIMA,1,2,2,bin_2,bin_2
Q128::pattern0::L36,148.45091208011354,15.936042474193274,1.010498046875,AutoETS,0,1,0,bin_1,bin_0
Q129::pattern0::L36,289.9108070346435,20.21883907881052,9.698690806738568,LGBM,2,1,0,bin_1,bin_0
Q12::pattern0::L36,317.32418982217257,88.6124708062285,93.67453613281259,AutoETS,0,1,2,bin_1,bin_2
Q130::pattern0::L36,327.712150376239,125.25703799173134,178.9947509765625,AutoETS,0,1,2,bin_1,bin_2
Q131::pattern0::L36,458.12022660530204,109.81092653352198,113.06547185089607,AutoARIMA,1,2,2,bin_2,bin_2
Q132::pattern0::L36,282.6770502524331,43.10641380563472,55.36980191995451,LGBM,2,1,1,bin_1,bin_1
Q133::pattern0::L36,1273.012274792771,1342.163258357895,4.818234813290701,LGBM,2,3,3,bin_3,bin_3
Q134::pattern0::L36,721.7912498239402,18.629009708092116,16.277822969864474,LGBM,2,3,0,bin_3,bin_0
Q135::pattern0::L36,190.39631383339645,42.52245061780057,60.05839843749982,AutoARIMA,1,1,1,bin_1,bin_1
Q136::pattern0::L36,671.0726428809774,118.51773505378809,34.43124535203469,XGB,3,3,2,bin_3,bin_2
Q137::pattern0::L36,524.3553613168075,38.7352115911988,80.08363285777114,LGBM,2,2,1,bin_2,bin_1
Q138::pattern0::L36,396.6413253299006,76.86658650273893,11.268243602272378,LGBM,2,2,2,bin_2,bin_2
Q139::pattern0::L36,286.44933349835065,58.90110172676026,18.532441415277617,XGB,3,1,1,bin_1,bin_1
Q13::pattern0::L36,181.38008212926871,34.54583154171914,20.591683201675323,LGBM,2,1,0,bin_1,bin_0
Q140::pattern0::L36,752.7240154501662,174.05337547552836,8.619384765625,AutoETS,0,3,3,bin_3,bin_3
Q141::pattern0::L36,184.42523385400494,32.285761414314116,24.779475455082093,AutoARIMA,1,1,0,bin_1,bin_0
Q142::pattern0::L36,440.90645451855306,129.70186653869433,214.5278076171876,AutoETS,0,2,2,bin_2,bin_2
Q143::pattern0::L36,222.03171312983528,91.38475930028652,100.3299560546875,AutoARIMA,1,1,2,bin_1,bin_2
Q144::pattern0::L36,506.74502955251023,46.73081769029016,60.20982319620907,LGBM,2,2,1,bin_2,bin_1
Q145::pattern0::L36,1901.3969467014722,1370.885088165826,50.40869756911343,LGBM,2,3,3,bin_3,bin_3
Q146::pattern0::L36,1561.8558237603768,457.20488745117507,221.9671671118192,AutoARIMA,1,3,3,bin_3,bin_3
Q147::pattern0::L36,571.1469508684471,117.34069677635566,13.308312988281159,XGB,3,2,2,bin_2,bin_2
Q148::pattern0::L36,365.45925816459703,51.1754226978713,76.0828857421875,AutoARIMA,1,2,1,bin_2,bin_1
Q149::pattern0::L36,257.18598055435007,42.07162062748424,2.132349951775268,XGB,3,1,1,bin_1,bin_1
Q14::pattern0::L36,77.56649994177528,49.43910654086884,52.41126464843728,AutoARIMA,1,0,1,bin_0,bin_1
Q150::pattern0::L36,649.7603060590092,254.16519343336938,1.8134765625,AutoETS,0,3,3,bin_3,bin_3
Q151::pattern0::L36,265.5258387297359,134.10737259032933,10.862109374999818,XGB,3,1,2,bin_1,bin_2
Q152::pattern0::L36,196.3507213834406,97.93637867551242,57.1086960806374,AutoARIMA,1,1,2,bin_1,bin_2
Q153::pattern0::L36,1211.0182903095972,16.913226233497063,14.2213134765625,AutoETS,0,3,0,bin_3,bin_0
Q154::pattern0::L36,2612.543255857972,61.819807055943905,15.377879888425014,LGBM,2,3,1,bin_3,bin_1
Q155::pattern0::L36,965.604432282764,158.14216967748138,53.50360559589967,XGB,3,3,3,bin_3,bin_3
Q156::pattern0::L36,1702.5022592104021,235.6589737146551,140.57361203692108,AutoARIMA,1,3,3,bin_3,bin_3
Q157::pattern0::L36,2913.4092002916504,1726.3195579048204,324.60521547324197,XGB,3,3,3,bin_3,bin_3
Q158::pattern0::L36,1142.2242250957493,102.74690578688669,74.20719091034084,XGB,3,3,2,bin_3,bin_2
Q159::pattern0::L36,667.6446627461157,20.227759861667586,2.3116455078125,AutoARIMA,1,3,0,bin_3,bin_0
Q15::pattern0::L36,124.31041841494837,75.9377544657861,28.314067382812482,AutoETS,0,0,2,bin_0,bin_2
Q160::pattern0::L36,1255.5367403661726,86.75732731473398,171.463623046875,AutoARIMA,1,3,2,bin_3,bin_2
Q161::pattern0::L36,4590.049075367728,433.80112599442555,151.04541015625,AutoARIMA,1,3,3,bin_3,bin_3
Q162::pattern0::L36,137.44200391703663,24.860336858039776,1.8989765193534822,LGBM,2,0,0,bin_0,bin_0
Q163::pattern0::L36,819.7667313772995,337.10629317617247,23.628045193927164,LGBM,2,3,3,bin_3,bin_3
Q164::pattern0::L36,473.68050951560406,76.11268243416616,92.12353515625,AutoETS,0,2,2,bin_2,bin_2
Q165::pattern0::L36,501.82288704207366,54.36014664133232,8.68827668391964,AutoARIMA,1,2,1,bin_2,bin_1
Q166::pattern0::L36,593.2516420220489,57.05178512040096,49.3326416015625,AutoARIMA,1,3,1,bin_3,bin_1
Q167::pattern0::L36,187.24733511865696,26.58455055385135,21.41650390625,AutoETS,0,1,0,bin_1,bin_0
