run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,task,split,n_queries,n_queries_with_positive_qrels,qrels_rows,mean_positive_qrels_per_query,median_positive_qrels_per_query,min_positive_qrels_per_query,max_positive_qrels_per_query,mean_relevance,relevance_1_rows,relevance_2_rows,relevance_3_rows,relevance_4_rows
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task1,test,151,151,37881,250.86754966887415,248.0,230,297,2.744172540323645,3604,9119,18522,6636
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2,test,151,151,37733,249.88741721854305,243.0,237,292,2.71910529244958,3456,9567,18830,5880
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2_L12,test,151,151,37565,248.7748344370861,243.0,235,289,2.717742579528817,3288,9551,19202,5524
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2_L36,test,151,151,37831,250.5364238410596,245.0,234,290,2.6990563294652534,3554,9879,18796,5602
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task1,test,151,151,38452,254.64900662251657,249.0,230,294,2.710990325600749,4175,9349,18342,6586
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2,test,151,151,37914,251.0860927152318,246.0,234,283,2.6563011024951204,3637,10830,18374,5073
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2_L12,test,151,151,37728,249.8543046357616,245.0,238,278,2.6774544105173876,3451,10406,18732,5139
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2_L36,test,151,151,37878,250.8476821192053,250.0,234,282,2.690321558688421,3601,9969,18867,5441
freqquarterly__bins2__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,8,42,1,full,task1,test,151,151,37878,250.8476821192053,248.0,231,296,2.7461059190031154,3601,8736,19220,6321
freqquarterly__bins2__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,8,42,1,full,task2,test,151,151,37891,250.9337748344371,245.0,235,296,2.705761262568948,3614,9691,18816,5770
freqquarterly__bins2__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,8,42,1,full,task2_L12,test,151,151,37728,249.8543046357616,245.0,238,278,2.6774544105173876,3451,10406,18732,5139
freqquarterly__bins2__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,8,42,1,full,task2_L36,test,151,151,38000,251.6556291390729,245.0,241,292,2.652605263157895,3723,10903,18226,5148
freqquarterly__bins3__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,2,42,1,full,task1,test,151,151,25738,170.4503311258278,173.0,154,195,2.59596705260704,2886,8146,11187,3519
freqquarterly__bins3__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,2,42,1,full,task2,test,151,151,25325,167.71523178807948,164.0,157,197,2.572359328726555,2461,8948,10876,3040
freqquarterly__bins3__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,2,42,1,full,task2_L12,test,151,151,25533,169.09271523178808,167.0,156,184,2.514863118317471,2693,9588,10665,2587
freqquarterly__bins3__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,2,42,1,full,task2_L36,test,151,151,25499,168.86754966887418,171.0,156,190,2.5439428997215576,2656,9128,10904,2811
freqquarterly__bins3__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,4,42,1,full,task1,test,151,151,26038,172.43708609271522,169.0,154,197,2.5451647591980953,3183,8747,10838,3270
freqquarterly__bins3__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,4,42,1,full,task2,test,151,151,25344,167.841059602649,165.0,157,187,2.5263178661616164,2484,9618,10661,2581
freqquarterly__bins3__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,4,42,1,full,task2_L12,test,151,151,25466,168.64900662251657,169.0,153,186,2.509659938741852,2625,9678,10722,2441
freqquarterly__bins3__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,4,42,1,full,task2_L36,test,151,151,25474,168.7019867549669,167.0,158,191,2.521943942843684,2627,9616,10539,2692
freqquarterly__bins3__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,8,42,1,full,task1,test,151,151,25791,170.80132450331126,171.0,156,191,2.5319297429335816,2936,9117,10821,2917
freqquarterly__bins3__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,8,42,1,full,task2,test,151,151,25419,168.33774834437085,167.0,158,190,2.5579684487981433,2565,8960,11040,2854
freqquarterly__bins3__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,8,42,1,full,task2_L12,test,151,151,25466,168.64900662251657,169.0,153,186,2.509659938741852,2625,9678,10722,2441
freqquarterly__bins3__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins3__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",3,8,42,1,full,task2_L36,test,151,151,25385,168.11258278145695,166.0,156,189,2.535276738231239,2532,9422,10742,2689
freqquarterly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,2,42,1,full,task1,test,151,151,19384,128.3708609271523,129.0,113,145,2.4988134543953775,2249,7304,7744,2087
freqquarterly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,2,42,1,full,task2,test,151,151,18912,125.24503311258276,123.0,115,146,2.4996827411167515,1758,7831,7438,1885
freqquarterly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,2,42,1,full,task2_L12,test,151,151,18963,125.58278145695364,124.0,116,138,2.467752992669936,1828,8041,7490,1604
freqquarterly__bins4__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,2,42,1,full,task2_L36,test,151,151,18949,125.49006622516556,125.0,115,141,2.485935933294633,1810,7881,7498,1760
freqquarterly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,4,42,1,full,task1,test,151,151,19248,127.47019867549668,126.0,115,149,2.4881546134663344,2106,7581,7620,1941
freqquarterly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,4,42,1,full,task2,test,151,151,18804,124.52980132450332,123.0,117,142,2.467134652201659,1655,8259,7341,1549
freqquarterly__bins4__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins4__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",4,4,42,1,full,task2_L12,test,151,151,18855,124.86754966887418,125.0,113,140,2.454998674091753,1719,8373,7228,1535
