run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,task,system,metric,n_queries,mean,std,ci95_low,ci95_high,mean_p@10,mean_ap@10,mean_ndcg@15,mean_p@15,mean_ap@15
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task1,random,ndcg@10,151,0.2714946279779693,0.1261731391408639,0.2518148349369785,0.2920784208917596,0.5635761589403974,0.0160774656879945,0.2750654666749592,0.5633554083885209,0.0227662146397827
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task1,raw_cosine,ndcg@10,151,0.3256108873868435,0.1766362561570025,0.2987859594193794,0.3536543472264773,0.6238410596026491,0.0198521651053183,0.3181794471090908,0.6189845474613687,0.0282727265654758
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task1,raw_dtw,ndcg@10,151,0.3262300878118624,0.1733830379459511,0.2997624590721292,0.3542422301763996,0.6298013245033112,0.0203110698277488,0.3217500624564107,0.6331125827814569,0.0292610132962021
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task1,raw_dtw+tsfel,ndcg@10,151,0.3782560503834957,0.2125394224055079,0.3455512115034933,0.4118039535781184,0.7192052980132452,0.0247172748575538,0.3754097012429145,0.7147902869757174,0.0360158289937546
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task1,tsfel,ndcg@10,151,0.3734416618269185,0.2122880240320068,0.3398053281296129,0.4074239828571659,0.7092715231788081,0.0243292605558089,0.3761614043694684,0.713907284768212,0.0358846585956
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2,pattern_raw_cosine,ndcg@10,151,0.3154479009386773,0.1875440940851283,0.2874057545698146,0.3445855840108355,0.5980132450331126,0.0188749829612095,0.3144270826193114,0.6066225165562914,0.0275327983797832
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2,pattern_raw_cosine+pattern_tsfel,ndcg@10,151,0.3839035268901191,0.1859443226771176,0.3535883803182016,0.4121669299233607,0.7410596026490066,0.0254940582971245,0.3765791341818345,0.7315673289183223,0.0367984461694287
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2,pattern_raw_dtw,ndcg@10,151,0.3385820524192684,0.1946029002040818,0.3083029455205345,0.3701680379337821,0.6490066225165563,0.0213312104251303,0.331826965138922,0.644150110375276,0.0306813276369632
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2,pattern_tsfel,ndcg@10,151,0.3839035268901191,0.1859443226771176,0.3546098735425969,0.4129029533993037,0.7410596026490066,0.0254940582971245,0.3765791341818345,0.7315673289183223,0.0367984461694287
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,task2,random,ndcg@10,151,0.2450658820282552,0.111678272377053,0.2278335948100615,0.2635910857323005,0.5503311258278146,0.0148339042796823,0.2472296065481607,0.5523178807947019,0.0213969719804131
