run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,experiment,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15,comparison,approach
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp1_pattern_main,pattern_tsfel,151,0.7410596026490066,0.025494058297124502,0.3839035268901191,0.7315673289183223,0.03679844616942872,0.3765791341818345,,
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,151,0.7410596026490066,0.025494058297124502,0.3839035268901191,0.7315673289183223,0.03679844616942872,0.3765791341818345,,
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp1_pattern_main,pattern_raw_dtw,151,0.6490066225165563,0.021331210425130313,0.3385820524192684,0.644150110375276,0.03068132763696329,0.33182696513892207,,
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp1_pattern_main,pattern_raw_cosine,151,0.5980132450331126,0.018874982961209562,0.3154479009386773,0.6066225165562914,0.027532798379783247,0.31442708261931146,,
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp1_pattern_main,random,151,0.5503311258278146,0.014833904279682337,0.2450658820282552,0.5523178807947019,0.02139697198041314,0.24722960654816076,,
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp2_whole_vs_pattern,raw_cosine,151,0.6238410596026491,0.019852165105318384,0.3256108873868435,0.6189845474613687,0.02827272656547588,0.3181794471090908,cosine,whole-series
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp2_whole_vs_pattern,pattern_raw_cosine,151,0.5980132450331126,0.018874982961209562,0.3154479009386773,0.6066225165562914,0.027532798379783247,0.31442708261931146,cosine,pattern
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp2_whole_vs_pattern,raw_dtw,151,0.6298013245033112,0.020311069827748895,0.3262300878118624,0.6331125827814569,0.029261013296202173,0.32175006245641075,dtw,whole-series
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp2_whole_vs_pattern,pattern_raw_dtw,151,0.6490066225165563,0.021331210425130313,0.3385820524192684,0.644150110375276,0.03068132763696329,0.33182696513892207,dtw,pattern
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,2,42,1,full,exp2_whole_vs_pattern,tsfel,151,0.7092715231788081,0.02432926055580893,0.3734416618269185,0.713907284768212,0.03588465859560005,0.37616140436946843,tsfel,whole-series
