run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,scope,error_regime,best_model,disagreement_regime,n
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_0,AutoARIMA,bin_0,101
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_0,AutoARIMA,bin_1,34
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_0,AutoETS,bin_0,87
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_0,AutoETS,bin_1,44
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_0,LGBM,bin_0,49
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_0,LGBM,bin_1,8
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_0,XGB,bin_0,53
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_0,XGB,bin_1,15
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_1,AutoARIMA,bin_0,26
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_1,AutoARIMA,bin_1,108
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_1,AutoETS,bin_0,28
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_1,AutoETS,bin_1,114
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_1,LGBM,bin_0,14
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_1,LGBM,bin_1,34
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_1,XGB,bin_0,19
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,,"12,24,36",2,2,42,1,full,whole_series,bin_1,XGB,bin_1,22
freqquarterly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h2__seed42__pps1__regfull,m3_quarterly,quarterly,4,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_0,AutoARIMA,bin_0,76
