task,system,metric,n_queries,mean,std,ci95_low,ci95_high,mean_p@10,mean_ap@10,mean_ndcg@15,mean_p@15,mean_ap@15
task1,random,ndcg@10,129,0.25264805185008343,0.10495295079212795,0.23446729759324314,0.27085756445615244,0.5658914728682171,0.01798936895129223,0.2572872715719727,0.5782945736434109,0.026281484082000352
task1,raw_cosine,ndcg@10,129,0.29545796216675124,0.15903481860109667,0.26869344041985765,0.3220025320960433,0.6364341085271318,0.022634736534080838,0.29006493979442355,0.6289405684754521,0.032354065735142885
task1,raw_dtw,ndcg@10,129,0.2980855617378175,0.1619381497846152,0.26965698966620333,0.3255686411368538,0.6248062015503876,0.0225687445790774,0.29995771488633494,0.6372093023255813,0.03315258944791088
task1,raw_dtw+tsfel,ndcg@10,129,0.36299859123341865,0.1876300548331236,0.3329456688317782,0.3951867482769801,0.7085271317829458,0.027115221560179273,0.3482993155705926,0.6904392764857881,0.038592730735270836
task1,tsfel,ndcg@10,129,0.35540995353226734,0.18424654375414698,0.32435993423329307,0.38703600946914674,0.7108527131782945,0.027449551057105857,0.3519712830342472,0.703359173126615,0.039627150970797845
task2,pattern_raw_cosine,ndcg@10,129,0.30531001812948344,0.1780804504768929,0.2749877192027731,0.33717568123351627,0.6201550387596899,0.022118080335403252,0.3030072938525487,0.6149870801033591,0.0318062560090627
task2,pattern_raw_cosine+pattern_tsfel,ndcg@10,129,0.33913352713265044,0.17981905507946788,0.30842491848466835,0.36992392546887093,0.6798449612403101,0.02592178928356814,0.3361316636162458,0.6770025839793282,0.03763033706800962
task2,pattern_raw_dtw,ndcg@10,129,0.30359314517256175,0.1748960913234844,0.2723132333452571,0.33504409869810065,0.6108527131782946,0.022034475532243945,0.3041344048135249,0.614470284237726,0.032022227949876185
task2,pattern_tsfel,ndcg@10,129,0.34906181696222016,0.17728697065756482,0.3176247498669237,0.3776002437364332,0.6852713178294574,0.02627936132960021,0.3400451175961364,0.6780361757105944,0.03782350936182987
task2,random,ndcg@10,129,0.23603861146165955,0.10866093569302125,0.21769924433138121,0.25467448126972375,0.5565891472868217,0.01708843502723416,0.2384564804339068,0.5581395348837209,0.024724238019864498
task1,random,ndcg@15,129,0.2572872715719727,0.0924555505151526,0.24133686990282158,0.2732926377656612,0.5658914728682171,0.01798936895129223,0.2572872715719727,0.5782945736434109,0.026281484082000352
task1,raw_cosine,ndcg@15,129,0.29006493979442355,0.1418117816285709,0.2663411971526157,0.3136811184180449,0.6364341085271318,0.022634736534080838,0.29006493979442355,0.6289405684754521,0.032354065735142885
task1,raw_dtw,ndcg@15,129,0.29995771488633494,0.14645063907341588,0.27484172869732426,0.324816037706932,0.6248062015503876,0.0225687445790774,0.29995771488633494,0.6372093023255813,0.03315258944791088
task1,raw_dtw+tsfel,ndcg@15,129,0.3482993155705926,0.1704051805198092,0.3212514298570463,0.37760660107311933,0.7085271317829458,0.027115221560179273,0.3482993155705926,0.6904392764857881,0.038592730735270836
task1,tsfel,ndcg@15,129,0.3519712830342472,0.16910817161634228,0.32255838268000414,0.3816492294472504,0.7108527131782945,0.027449551057105857,0.3519712830342472,0.703359173126615,0.039627150970797845
task2,pattern_raw_cosine,ndcg@15,129,0.3030072938525487,0.16285084059561022,0.2757301025494669,0.33131329826322914,0.6201550387596899,0.022118080335403252,0.3030072938525487,0.6149870801033591,0.0318062560090627
task2,pattern_raw_cosine+pattern_tsfel,ndcg@15,129,0.3361316636162458,0.16839702028412634,0.30744964372941364,0.3662737297030294,0.6798449612403101,0.02592178928356814,0.3361316636162458,0.6770025839793282,0.03763033706800962
task2,pattern_raw_dtw,ndcg@15,129,0.3041344048135249,0.16160489229031694,0.2748101791110885,0.3333059553487322,0.6108527131782946,0.022034475532243945,0.3041344048135249,0.614470284237726,0.032022227949876185
task2,pattern_tsfel,ndcg@15,129,0.3400451175961364,0.166436929919611,0.31016942959601973,0.36705704156526386,0.6852713178294574,0.02627936132960021,0.3400451175961364,0.6780361757105944,0.03782350936182987
task2,random,ndcg@15,129,0.2384564804339068,0.09336015603862123,0.22273711553348974,0.25462528229504744,0.5565891472868217,0.01708843502723416,0.2384564804339068,0.5581395348837209,0.024724238019864498
