object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
Y100::pattern0::L36,322.7362204702764,77.07477967684329,18.499771669051825,XGB,3,1,0,bin_1,bin_0
Y101::pattern0::L36,461.509538735339,93.59253884039916,202.36767578125,AutoETS,0,1,0,bin_1,bin_0
Y102::pattern0::L36,149.7958986865612,117.60913029734304,7.603813875406786,LGBM,2,0,1,bin_0,bin_1
Y103::pattern0::L36,132.60863729049208,151.60442855754906,19.676858732280834,XGB,3,0,1,bin_0,bin_1
Y104::pattern0::L36,488.6848243316533,63.79425694168598,11.475039514113632,XGB,3,1,0,bin_1,bin_0
Y105::pattern0::L36,631.976448801204,65.36013265415174,149.7237639548157,AutoARIMA,1,1,0,bin_1,bin_0
Y106::pattern0::L36,90.53268551106862,65.50333872620797,31.978155691963366,AutoETS,0,0,0,bin_0,bin_0
Y107::pattern0::L36,190.45709522176514,68.24372286162185,34.726330105810575,XGB,3,0,0,bin_0,bin_0
Y108::pattern0::L36,539.8469298310958,263.6735807229502,445.39734486607085,AutoARIMA,1,1,1,bin_1,bin_1
Y109::pattern0::L36,781.097416855866,214.74457149050397,348.99267578125,AutoETS,0,1,1,bin_1,bin_1
Y10::pattern0::L36,713.1388942385063,438.9351536438313,98.7434342764434,LGBM,2,1,1,bin_1,bin_1
Y110::pattern0::L36,814.4392420161805,194.91021922649122,359.56396484375,AutoETS,0,1,1,bin_1,bin_1
Y111::pattern0::L36,2305.834723360346,458.6865589971822,271.32009391571273,XGB,3,1,1,bin_1,bin_1
Y112::pattern0::L36,1187.155423013989,202.17127962411112,462.6669921875,AutoETS,0,1,1,bin_1,bin_1
Y113::pattern0::L36,1940.8911607343591,426.93735952765485,565.9247852365434,AutoETS,0,1,1,bin_1,bin_1
Y114::pattern0::L36,2844.8623574788717,65.70530596194271,123.85700525030552,AutoARIMA,1,1,0,bin_1,bin_0
Y115::pattern0::L36,213.30647629659086,140.78871659414253,105.86767578125,AutoETS,0,0,1,bin_0,bin_1
Y116::pattern0::L36,719.98723926358,190.21343373241018,103.093017578125,AutoARIMA,1,1,1,bin_1,bin_1
Y117::pattern0::L36,3898.8591450665085,589.0002295908873,20.714253997362903,LGBM,2,1,1,bin_1,bin_1
Y118::pattern0::L36,3165.1416931168583,352.26199244657226,75.75575405225027,XGB,3,1,1,bin_1,bin_1
Y119::pattern0::L36,766.7789549275677,106.06729047321441,195.445068359375,XGB,3,1,1,bin_1,bin_1
Y11::pattern0::L36,112.16735805491612,58.04521417052295,1.1314634696655048,XGB,3,0,0,bin_0,bin_0
Y120::pattern0::L36,2172.5232554323893,357.6248281441096,19.19578407401559,LGBM,2,1,1,bin_1,bin_1
Y121::pattern0::L36,2038.3487621754512,681.5115896462614,156.4558942131032,XGB,3,1,1,bin_1,bin_1
Y122::pattern0::L36,1054.1088587637578,227.58186276871942,30.04093771282669,LGBM,2,1,1,bin_1,bin_1
Y123::pattern0::L36,1599.9086367441757,339.9080881830076,388.3527738182197,AutoARIMA,1,1,1,bin_1,bin_1
Y124::pattern0::L36,491.62492123617574,167.97558112309005,355.9034656366671,AutoARIMA,1,1,1,bin_1,bin_1
Y125::pattern0::L36,516.6194915913035,99.45190587500585,3.364501953125,AutoARIMA,1,1,0,bin_1,bin_0
Y126::pattern0::L36,1569.3227764632568,331.83701359309947,608.097900390625,AutoARIMA,1,1,1,bin_1,bin_1
Y127::pattern0::L36,2992.8961526488706,699.4519083794416,143.38753644693088,LGBM,2,1,1,bin_1,bin_1
Y128::pattern0::L36,1600.7356766130529,89.14752052837744,76.5355162040405,LGBM,2,1,0,bin_1,bin_0
Y129::pattern0::L36,727.5458507962912,208.52455008793405,7.334628343854547,LGBM,2,1,1,bin_1,bin_1
