object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
Y1,725.8587174002146,456.3339767423309,465.4758398437498,AutoETS,0,2,3,bin_2,bin_3
Y10,4527.109949006049,5619.524176382197,1353.0831065710695,AutoETS,0,3,3,bin_3,bin_3
Y100,304.61727765342016,101.41816121171449,7.053594464444359,LGBM,2,1,1,bin_1,bin_1
Y101,444.95561188687,62.348296022450235,0.0,AutoETS,0,2,0,bin_2,bin_0
Y102,291.5717635812575,222.4218828831891,40.091644168780476,XGB,3,1,3,bin_1,bin_3
Y103,182.53088315964226,137.45243077210975,0.7863744354440314,XGB,3,0,2,bin_0,bin_2
Y104,329.2434026242146,41.84020293319445,7.477516746858328,XGB,3,1,0,bin_1,bin_0
Y105,642.9227000710099,90.4427401226327,5.092529296875,AutoETS,0,2,1,bin_2,bin_1
Y106,340.9689726503152,67.33231656057546,117.99267578125,AutoARIMA,1,1,1,bin_1,bin_1
Y107,222.58431763378542,25.71051908913683,34.74329587110833,LGBM,2,1,0,bin_1,bin_0
Y108,2506.473602063341,607.737670152449,1161.2744140625,AutoETS,0,3,3,bin_3,bin_3
Y109,1674.6841477323742,710.6531861587239,67.96348912285589,XGB,3,3,3,bin_3,bin_3
Y11,227.54124475977278,196.21717821210035,16.981385289091122,XGB,3,1,2,bin_1,bin_2
Y110,966.5443976738841,541.1609796098127,13.338281250000364,AutoETS,0,3,3,bin_3,bin_3
Y111,2662.252501714546,213.27731858252722,270.0283203125,AutoARIMA,1,3,2,bin_3,bin_2
Y112,775.7239363688874,97.7483794278914,195.98900719429957,AutoETS,0,2,1,bin_2,bin_1
Y113,4517.175899575337,535.8991126140712,23.362289707599302,XGB,3,3,3,bin_3,bin_3
Y114,2011.1155431848565,103.08392339614932,59.700585937500364,AutoARIMA,1,3,1,bin_3,bin_1
Y115,449.53059169349547,190.3167606022232,54.2822265625,AutoARIMA,1,2,2,bin_2,bin_2
Y116,438.39652580153574,53.06201393439903,51.0103759765625,AutoARIMA,1,2,0,bin_2,bin_0
Y117,2889.1571314386792,127.30358382122861,123.96114294221479,XGB,3,3,2,bin_3,bin_2
Y118,2239.7923069067037,118.78245501652279,44.07630770493779,XGB,3,3,1,bin_3,bin_1
