unique_id,Absolute energy,Area under the curve,Autocorrelation,Average power,Centroid,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,ECDF_9,Entropy,Histogram mode,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Mean absolute diff,Mean diff,Median,Median absolute deviation,Median absolute diff,Median diff,Min,Negative turning points,Neighbourhood peaks,Peak to peak distance,Positive turning points,Root mean square,Signal distance,Skewness,Slope,Standard deviation,Sum absolute diff,Variance,Zero crossing rate
Y1::pattern0::L36,373959600.6767218,89689.90057142856,8.0,12895158.64402489,22.199429686126035,6.0,24.0,1387.8657142857144,4654.590571428572,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.26666666666666666,0.3,0.3333333333333333,1.0,1228.225857142857,2598.100285714286,-0.7750513302303172,6691.977142857142,3116.873971428571,1382.1842723809523,198.32128078817732,198.32128078817732,2875.363857142857,1304.4645714285712,169.33742857142875,169.33742857142875,940.66,0.0,0.0,5751.317142857142,0.0,3530.626010009754,5751.410073939312,0.5473371805362593,187.71589276974416,1658.4380207859685,5751.317142857142,2750416.6687884806,0.0
Y100::pattern0::L36,152876549.21922448,64220.649999999994,4.0,5271605.145490499,17.160755635288652,6.0,24.0,1796.4142857142858,2451.428571428571,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.26666666666666666,0.3,0.3333333333333333,1.0,2202.8464285714285,423.4807142857144,-0.014987377433321125,3153.9142857142856,2216.9985714285717,322.4349523809524,124.70059113300495,59.628078817733986,2216.842857142857,224.5285714285717,100.22857142857174,84.14285714285688,1424.7,3.0,1.0,1729.2142857142856,3.0,2257.406692196634,3616.5744990646017,0.16073191379060248,40.856763387891284,425.20854678360246,3616.3171428571436,180802.30825782305,0.0
Y101::pattern0::L36,954634739.6114286,161058.49999999997,3.0,32918439.296945814,16.788860809269377,6.0,24.0,4848.0,6040.857142857143,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.26666666666666666,0.3,0.3333333333333333,1.0,5603.995714285715,775.442857142858,0.15664640192217627,7736.000000000001,5559.342857142857,701.0152380952383,272.5014778325125,125.43349753694581,5582.914285714286,392.88571428571504,270.6285714285714,162.3142857142857,3859.6285714285714,3.0,0.0,3876.3714285714295,3.0,5641.024551182845,7902.7167023729035,0.14812442956598817,87.45686953758147,956.4857467742595,7902.542857142861,914864.983782313,0.0
Y104::pattern0::L36,331615748.4133713,93266.77571428572,5.0,11435025.807357632,18.2890990148795,6.0,24.0,2300.0142857142855,4298.711428571429,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.26666666666666666,0.3,0.3333333333333333,1.0,3191.894285714285,1457.9857142857145,-0.9294298948021251,4625.671428571428,3206.264190476191,725.4290285714286,248.12403940886696,102.18275862068967,3090.902857142857,673.5442857142857,235.8428571428567,221.4857142857145,1439.5,4.0,1.0,3186.171428571428,5.0,3324.7343172719397,7195.871326764237,-0.019926838159089272,86.43187923089145,879.6182247519507,7195.597142857142,773728.2213157732,0.0
Y106::pattern0::L36,550647734.2150899,121284.12785714287,4.0,18987852.903968617,17.593329949214656,6.0,24.0,3418.6142857142854,4522.838571428571,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.26666666666666666,0.3,0.3333333333333333,1.0,3399.4020714285716,888.312142857143,0.23879453822866425,6288.500000000001,4197.772952380952,668.6788761904762,252.1530541871922,91.00418719211827,3981.0299999999997,463.22000000000025,281.68857142857223,118.55285714285765,3247.344285714286,4.0,0.0,3041.155714285715,4.0,4284.264753004456,7312.584792332129,1.1027949277975135,83.16801970443346,856.5201189086158,7312.438571428574,733626.7140952293,0.0
Y11::pattern0::L36,353357667.05264866,90968.33214285714,6.0,12184747.139746506,21.103482818901586,6.0,24.0,1904.3671428571427,4422.022857142858,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.26666666666666666,0.3,0.3333333333333333,1.0,2478.369642857143,1626.987714285714,-0.6266572300603612,5893.748571428571,3152.8387142857146,1121.5090476190478,161.56586206896552,157.02891625615763,2706.805714285714,758.8949999999996,126.31142857142868,126.31142857142868,1339.91,1.0,0.0,4553.838571428571,1.0,3431.9948866155023,4685.60493119788,0.7633355664923062,148.2221535674559,1355.8012182676935,4685.41,1838196.943456162,0.0
Y111::pattern0::L36,1668467678.3405712,210916.37714285715,3.0,57533368.21864039,14.899609706777523,6.0,24.0,6270.571428571428,8905.52,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.26666666666666666,0.3,0.3333333333333333,1.0,7048.850285714283,1734.8742857142834,1.8273437257675296,9922.754285714285,7235.959238095238,1324.1526603174607,675.0738916256162,-23.917241379310482,6961.388571428572,980.8228571428567,382.8571428571431,187.33714285714268,1711.5999999999904,4.0,1.0,8211.154285714296,4.0,7457.5860221668945,19577.208917777352,-1.0697107057759556,-3.510112188145595,1804.572853237915,19577.14285714287,3256483.18264323,0.0
Y113::pattern0::L36,3682315674.2051973,228404.83142857146,5.0,126976402.55879991,24.334129511939384,6.0,24.0,2083.652857142857,15107.441428571432,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.26666666666666666,0.3,0.3333333333333333,1.0,3178.4635714285714,9321.62142857143,-0.028084211741673304,25482.414285714287,7849.799142857142,6557.078228571429,1353.4108374384234,348.76847290640404,2996.42,978.1342857142857,385.224285714286,106.8614285714284,2004.5714285714287,3.0,0.0,23477.84285714286,4.0,11078.982616054594,39249.0817313158,1.2166735825090795,725.6240864452568,7818.216498897888,39248.91428571428,61124509.22363915,0.0
Y114::pattern0::L36,234844931.22581226,61215.340000000004,6.0,8098101.076752147,24.752438918989682,6.0,24.0,809.9942857142858,3331.9800000000014,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.26666666666666666,0.3,0.3333333333333333,1.0,963.2868571428572,1851.7092857142857,0.44290192922539173,6750.437142857142,2163.9969523809527,1418.2142095238096,276.8780295566502,210.05990147783248,1349.0685714285714,572.1114285714285,235.30285714285674,166.49428571428587,658.7,2.0,0.0,6091.737142857142,2.0,2797.8856971280547,8029.616963531912,1.3148820466285738,176.98174988081996,1773.4941680985849,8029.462857142856,3145281.5642796913,0.0
Y116::pattern0::L36,487053306.7323248,110718.12442857145,3.0,16794941.611459475,15.536855450611224,6.0,24.0,1900.7428571428584,4837.771428571429,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.26666666666666666,0.3,0.3333333333333333,1.0,4097.675714285714,2228.4512142857157,-0.6865397334712968,6757.342857142857,3729.9545047619054,1247.9579422222223,551.665822660098,-23.002709359605888,3940.07142857143,994.8307142857122,479.3428571428551,166.96114285714293,846.971428571429,3.0,1.0,5910.371428571428,4.0,4029.281601527849,15998.373945998106,-0.0003225492536108831,22.520703066899642,1523.9913440755497,15998.308857142843,2322549.6168172006,0.0
