run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,experiment,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15,comparison,approach
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp1_pattern_main,pattern_tsfel,129,0.6852713178294574,0.02627936132960021,0.34906181696222016,0.6780361757105944,0.03782350936182987,0.3400451175961364,,
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp1_pattern_main,pattern_raw_cosine+pattern_tsfel,129,0.6798449612403101,0.02592178928356814,0.33913352713265044,0.6770025839793282,0.03763033706800962,0.3361316636162458,,
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp1_pattern_main,pattern_raw_cosine,129,0.6201550387596899,0.022118080335403252,0.30531001812948344,0.6149870801033591,0.0318062560090627,0.3030072938525487,,
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp1_pattern_main,pattern_raw_dtw,129,0.6108527131782946,0.022034475532243945,0.30359314517256175,0.614470284237726,0.032022227949876185,0.3041344048135249,,
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp1_pattern_main,random,129,0.5565891472868217,0.01708843502723416,0.23603861146165955,0.5581395348837209,0.024724238019864498,0.2384564804339068,,
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp2_whole_vs_pattern,raw_cosine,129,0.6364341085271318,0.022634736534080838,0.29545796216675124,0.6289405684754521,0.032354065735142885,0.29006493979442355,cosine,whole-series
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp2_whole_vs_pattern,pattern_raw_cosine,129,0.6201550387596899,0.022118080335403252,0.30531001812948344,0.6149870801033591,0.0318062560090627,0.3030072938525487,cosine,pattern
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp2_whole_vs_pattern,raw_dtw,129,0.6248062015503876,0.0225687445790774,0.2980855617378175,0.6372093023255813,0.03315258944791088,0.29995771488633494,dtw,whole-series
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp2_whole_vs_pattern,pattern_raw_dtw,129,0.6108527131782946,0.022034475532243945,0.30359314517256175,0.614470284237726,0.032022227949876185,0.3041344048135249,dtw,pattern
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp2_whole_vs_pattern,tsfel,129,0.7108527131782945,0.027449551057105857,0.35540995353226734,0.703359173126615,0.039627150970797845,0.3519712830342472,tsfel,whole-series
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp2_whole_vs_pattern,pattern_tsfel,129,0.6852713178294574,0.02627936132960021,0.34906181696222016,0.6780361757105944,0.03782350936182987,0.3400451175961364,tsfel,pattern
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp3_retrieval_ablation,random,129,0.5565891472868217,0.01708843502723416,0.23603861146165955,0.5581395348837209,0.024724238019864498,0.2384564804339068,,random
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24,"12,24,36",2,2,42,1,full,exp3_retrieval_ablation,pattern_tsfel,129,0.6852713178294574,0.02627936132960021,0.34906181696222016,0.6780361757105944,0.03782350936182987,0.3400451175961364,,best_content_baseline
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,12,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_tsfel,129,0.696124031007752,0.027087947864575603,0.3289564398564308,0.6795865633074935,0.03850994894887479,0.3243518820493944,,
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,12,"12,24,36",2,2,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_cosine,129,0.6255813953488373,0.02325646530664375,0.2924896741682495,0.6093023255813954,0.03271742649116216,0.28542675915142435,,
