run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,scope,error_regime,best_model,disagreement_regime,n
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_0,AutoARIMA,bin_0,83
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_0,AutoARIMA,bin_1,42
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_0,AutoETS,bin_0,64
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_0,AutoETS,bin_1,43
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_0,LGBM,bin_0,38
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_0,LGBM,bin_1,4
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_0,XGB,bin_0,40
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_0,XGB,bin_1,15
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_1,AutoARIMA,bin_0,27
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_1,AutoARIMA,bin_1,98
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_1,AutoETS,bin_0,34
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_1,AutoETS,bin_1,70
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_1,LGBM,bin_0,20
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_1,LGBM,bin_1,32
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_1,XGB,bin_0,14
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,2,42,1,full,whole_series,bin_1,XGB,bin_1,21
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_0,AutoARIMA,bin_0,87
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_0,AutoARIMA,bin_1,43
freqyearly__bins2__h2__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h2__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,2,42,1,full,pattern_main,bin_0,AutoETS,bin_0,77
